labels,pattern,nobese,obese
a_20: A | a_30: A ,A->A,0.4357682619647355,0.4044943820224719
a_20: B | a_30: A ,A->B,0.5642317380352645,0.5955056179775281
a_20: A | a_30: B ,B->A,0.082039911308204,0.07194244604316546
a_20: B | a_30: B ,B->B,0.917960088691796,0.9280575539568345
a_10: A | a_30: A ,A->A,0.17632241813602015,0.24719101123595505
a_10: B | a_30: A ,A->B,0.8236775818639799,0.7528089887640449
a_10: A | a_30: B ,B->A,0.21507760532150777,0.2158273381294964
a_10: B | a_30: B ,B->B,0.7849223946784922,0.7841726618705036
a_10: A | a_20: A ,A->A,0.3380952380952381,0.4782608695652174
a_10: B | a_20: A ,A->B,0.6619047619047619,0.5217391304347826
a_10: A | a_20: B ,B->A,0.15047021943573669,0.16483516483516483
a_10: B | a_20: B ,B->B,0.8495297805642633,0.8351648351648352
a_5: A | a_30: A ,A->A,0.3350125944584383,0.34831460674157305
a_5: B | a_30: A ,A->B,0.6649874055415617,0.651685393258427
a_5: A | a_30: B ,B->A,0.3436807095343681,0.3381294964028777
a_5: B | a_30: B ,B->B,0.656319290465632,0.6618705035971223
a_5: A | a_20: A ,A->A,0.43333333333333335,0.5217391304347826
a_5: B | a_20: A ,A->B,0.5666666666666667,0.4782608695652174
a_5: A | a_20: B ,B->A,0.30877742946708464,0.2967032967032967
a_5: B | a_20: B ,B->B,0.6912225705329154,0.7032967032967034
a_5: A | a_10: A ,A->A,0.718562874251497,0.7692307692307693
a_5: B | a_10: A ,A->B,0.281437125748503,0.23076923076923078
a_5: A | a_10: B ,B->A,0.24669603524229075,0.2159090909090909
a_5: B | a_10: B ,B->B,0.7533039647577092,0.7840909090909091
a_1: A | a_30: A ,A->A,0.5717884130982368,0.47191011235955055
a_1: B | a_30: A ,A->B,0.4282115869017632,0.5280898876404494
a_1: A | a_30: B ,B->A,0.49445676274944567,0.45323741007194246
a_1: B | a_30: B ,B->B,0.5055432372505543,0.5467625899280576
a_1: A | a_20: A ,A->A,0.5761904761904761,0.4782608695652174
a_1: B | a_20: A ,A->B,0.4238095238095238,0.5217391304347826
a_1: A | a_20: B ,B->A,0.5156739811912225,0.45604395604395603
a_1: B | a_20: B ,B->B,0.4843260188087774,0.5439560439560439
a_1: A | a_10: A ,A->A,0.6586826347305389,0.6153846153846154
a_1: B | a_10: A ,A->B,0.3413173652694611,0.38461538461538464
a_1: A | a_10: B ,B->A,0.49926578560939794,0.4147727272727273
a_1: B | a_10: B ,B->B,0.5007342143906021,0.5852272727272727
a_1: A | a_5: A ,A->A,0.7777777777777778,0.717948717948718
a_1: B | a_5: A ,A->B,0.2222222222222222,0.28205128205128205
a_1: A | a_5: B ,B->A,0.4035714285714286,0.32666666666666666
a_1: B | a_5: B ,B->B,0.5964285714285714,0.6733333333333333
a_0: A | a_30: A ,A->A,0.5214105793450882,0.5393258426966292
a_0: B | a_30: A ,A->B,0.47858942065491183,0.4606741573033708
a_0: A | a_30: B ,B->A,0.42572062084257206,0.45323741007194246
a_0: B | a_30: B ,B->B,0.5742793791574279,0.5467625899280576
a_0: A | a_20: A ,A->A,0.5285714285714286,0.5
a_0: B | a_20: A ,A->B,0.4714285714285714,0.5
a_0: A | a_20: B ,B->A,0.45141065830721006,0.4835164835164835
a_0: B | a_20: B ,B->B,0.54858934169279,0.5164835164835165
a_0: A | a_10: A ,A->A,0.5449101796407185,0.6538461538461539
a_0: B | a_10: A ,A->B,0.4550898203592814,0.34615384615384615
a_0: A | a_10: B ,B->A,0.4522760646108664,0.4375
a_0: B | a_10: B ,B->B,0.5477239353891337,0.5625
a_0: A | a_5: A ,A->A,0.6597222222222222,0.6666666666666666
a_0: B | a_5: A ,A->B,0.3402777777777778,0.3333333333333333
a_0: A | a_5: B ,B->A,0.3732142857142857,0.3933333333333333
a_0: B | a_5: B ,B->B,0.6267857142857143,0.6066666666666667
a_0: A | a_1: A ,A->A,0.7466666666666667,0.7714285714285715
a_0: B | a_1: A ,A->B,0.25333333333333335,0.22857142857142856
a_0: A | a_1: B ,B->A,0.15829145728643215,0.24390243902439024
a_0: B | a_1: B ,B->B,0.8417085427135679,0.7560975609756098
