labels,pattern,probs
a_20: A | a_30: A ,A->A,0.9252782193958664
a_20: B | a_30: A ,A->B,0.07472178060413355
a_20: A | a_30: B ,B->A,0.1956521739130435
a_20: B | a_30: B ,B->B,0.8043478260869565
a_10: A | a_30: A ,A->A,0.78060413354531
a_10: B | a_30: A ,A->B,0.21939586645468998
a_10: A | a_30: B ,B->A,0.2608695652173913
a_10: B | a_30: B ,B->B,0.7391304347826086
a_10: A | a_20: A ,A->A,0.8447653429602888
a_10: B | a_20: A ,A->B,0.1552346570397112
a_10: A | a_20: B ,B->A,0.2727272727272727
a_10: B | a_20: B ,B->B,0.7272727272727273
a_5: A | a_30: A ,A->A,0.604133545310016
a_5: B | a_30: A ,A->B,0.3958664546899841
a_5: A | a_30: B ,B->A,0.2608695652173913
a_5: B | a_30: B ,B->B,0.7391304347826086
a_5: A | a_20: A ,A->A,0.6606498194945848
a_5: B | a_20: A ,A->B,0.33935018050541516
a_5: A | a_20: B ,B->A,0.3305785123966942
a_5: B | a_20: B ,B->B,0.6694214876033058
a_5: A | a_10: A ,A->A,0.7628128724672228
a_5: B | a_10: A ,A->B,0.2359952324195471
a_5: A | a_10: B ,B->A,0.18340611353711792
a_5: B | a_10: B ,B->B,0.8165938864628821
a_1: A | a_30: A ,A->A,0.4610492845786963
a_1: B | a_30: A ,A->B,0.5389507154213037
a_1: A | a_30: B ,B->A,0.2391304347826087
a_1: B | a_30: B ,B->B,0.7608695652173914
a_1: A | a_20: A ,A->A,0.4969915764139591
a_1: B | a_20: A ,A->B,0.5030084235860409
a_1: A | a_20: B ,B->A,0.30578512396694213
a_1: B | a_20: B ,B->B,0.6942148760330579
a_1: A | a_10: A ,A->A,0.564958283671037
a_1: B | a_10: A ,A->B,0.43504171632896305
a_1: A | a_10: B ,B->A,0.26200873362445415
a_1: B | a_10: B ,B->B,0.7379912663755459
a_1: A | a_5: A ,A->A,0.6783114992721979
a_1: B | a_5: A ,A->B,0.32168850072780203
a_1: A | a_5: B ,B->A,0.18134715025906736
a_1: B | a_5: B ,B->B,0.8186528497409327
a_0: A | a_30: A ,A->A,0.4069952305246423
a_0: B | a_30: A ,A->B,0.5930047694753577
a_0: A | a_30: B ,B->A,0.17391304347826086
a_0: B | a_30: B ,B->B,0.8260869565217391
a_0: A | a_20: A ,A->A,0.43922984356197353
a_0: B | a_20: A ,A->B,0.5607701564380265
a_0: A | a_20: B ,B->A,0.2396694214876033
a_0: B | a_20: B ,B->B,0.7603305785123967
a_0: A | a_10: A ,A->A,0.4934445768772348
a_0: B | a_10: A ,A->B,0.5053635280095352
a_0: A | a_10: B ,B->A,0.2663755458515284
a_0: B | a_10: B ,B->B,0.7336244541484717
a_0: A | a_5: A ,A->A,0.5807860262008734
a_0: B | a_5: A ,A->B,0.4177583697234352
a_0: A | a_5: B ,B->A,0.20466321243523317
a_0: B | a_5: B ,B->B,0.7927461139896373
a_0: A | a_1: A ,A->A,0.7914338919925512
a_0: B | a_1: A ,A->B,0.20670391061452514
a_0: A | a_1: B ,B->A,0.09869646182495345
a_0: B | a_1: B ,B->B,0.8994413407821229
