labels,pattern,nhdegree,hdegree
a_20: A | a_30: A ,A->A,0.9198606271777003,0.9298245614035088
a_20: B | a_30: A ,A->B,0.08013937282229965,0.07017543859649122
a_20: A | a_30: B ,B->A,0.15789473684210525,0.2222222222222222
a_20: B | a_30: B ,B->B,0.8421052631578947,0.7777777777777778
a_10: A | a_30: A ,A->A,0.7804878048780488,0.7807017543859649
a_10: B | a_30: A ,A->B,0.21951219512195122,0.21929824561403508
a_10: A | a_30: B ,B->A,0.2631578947368421,0.25925925925925924
a_10: B | a_30: B ,B->B,0.7368421052631579,0.7407407407407407
a_10: A | a_20: A ,A->A,0.8333333333333334,0.8525252525252526
a_10: B | a_20: A ,A->B,0.16666666666666666,0.14747474747474748
a_10: A | a_20: B ,B->A,0.19148936170212766,0.32432432432432434
a_10: B | a_20: B ,B->B,0.8085106382978723,0.6756756756756757
a_5: A | a_30: A ,A->A,0.5818815331010453,0.6228070175438597
a_5: B | a_30: A ,A->B,0.4181184668989547,0.37719298245614036
a_5: A | a_30: B ,B->A,0.15789473684210525,0.3333333333333333
a_5: B | a_30: B ,B->B,0.8421052631578947,0.6666666666666666
a_5: A | a_20: A ,A->A,0.6220238095238095,0.6868686868686869
a_5: B | a_20: A ,A->B,0.37797619047619047,0.31313131313131315
a_5: A | a_20: B ,B->A,0.23404255319148937,0.3918918918918919
a_5: B | a_20: B ,B->B,0.7659574468085106,0.6081081081081081
a_5: A | a_10: A ,A->A,0.7280966767371602,0.7854330708661418
a_5: B | a_10: A ,A->B,0.2688821752265861,0.21456692913385828
a_5: A | a_10: B ,B->A,0.16666666666666666,0.1968503937007874
a_5: B | a_10: B ,B->B,0.8333333333333334,0.8031496062992126
a_1: A | a_30: A ,A->A,0.397212543554007,0.5146198830409356
a_1: B | a_30: A ,A->B,0.6027874564459931,0.4853801169590643
a_1: A | a_30: B ,B->A,0.21052631578947367,0.25925925925925924
a_1: B | a_30: B ,B->B,0.7894736842105263,0.7407407407407407
a_1: A | a_20: A ,A->A,0.41369047619047616,0.5535353535353535
a_1: B | a_20: A ,A->B,0.5863095238095238,0.44646464646464645
a_1: A | a_20: B ,B->A,0.2553191489361702,0.33783783783783783
a_1: B | a_20: B ,B->B,0.7446808510638298,0.6621621621621622
a_1: A | a_10: A ,A->A,0.48036253776435045,0.6200787401574803
a_1: B | a_10: A ,A->B,0.5196374622356495,0.3799212598425197
a_1: A | a_10: B ,B->A,0.21568627450980393,0.2992125984251969
a_1: B | a_10: B ,B->B,0.7843137254901961,0.7007874015748031
a_1: A | a_5: A ,A->A,0.5961538461538461,0.7283372365339579
a_1: B | a_5: A ,A->B,0.40384615384615385,0.2716627634660422
a_1: A | a_5: B ,B->A,0.14857142857142858,0.20853080568720378
a_1: B | a_5: B ,B->B,0.8514285714285714,0.7914691943127962
a_0: A | a_30: A ,A->A,0.32752613240418116,0.47368421052631576
a_0: B | a_30: A ,A->B,0.6724738675958188,0.5263157894736842
a_0: A | a_30: B ,B->A,0.15789473684210525,0.18518518518518517
a_0: B | a_30: B ,B->B,0.8421052631578947,0.8148148148148148
a_0: A | a_20: A ,A->A,0.33630952380952384,0.509090909090909
a_0: B | a_20: A ,A->B,0.6636904761904762,0.4909090909090909
a_0: A | a_20: B ,B->A,0.1702127659574468,0.28378378378378377
a_0: B | a_20: B ,B->B,0.8297872340425532,0.7162162162162162
a_0: A | a_10: A ,A->A,0.3776435045317221,0.5688976377952756
a_0: B | a_10: A ,A->B,0.6193353474320241,0.4311023622047244
a_0: A | a_10: B ,B->A,0.19607843137254902,0.3228346456692913
a_0: B | a_10: B ,B->B,0.803921568627451,0.6771653543307087
a_0: A | a_5: A ,A->A,0.4653846153846154,0.6510538641686182
a_0: B | a_5: A ,A->B,0.5307692307692308,0.34894613583138173
a_0: A | a_5: B ,B->A,0.14285714285714285,0.2559241706161137
a_0: B | a_5: B ,B->B,0.8514285714285714,0.7440758293838863
a_0: A | a_1: A ,A->A,0.7032967032967034,0.8366197183098592
a_0: B | a_1: A ,A->B,0.29120879120879123,0.16338028169014085
a_0: A | a_1: B ,B->A,0.07086614173228346,0.12367491166077739
a_0: B | a_1: B ,B->B,0.9251968503937008,0.8763250883392226
