labels,pattern,nobese,obese
a_20: A | a_30: A ,A->A,0.9355509355509356,0.8918918918918919
a_20: B | a_30: A ,A->B,0.06444906444906445,0.10810810810810811
a_20: A | a_30: B ,B->A,0.20689655172413793,0.17647058823529413
a_20: B | a_30: B ,B->B,0.7931034482758621,0.8235294117647058
a_10: A | a_30: A ,A->A,0.8191268191268192,0.6554054054054054
a_10: B | a_30: A ,A->B,0.18087318087318088,0.34459459459459457
a_10: A | a_30: B ,B->A,0.2413793103448276,0.29411764705882354
a_10: B | a_30: B ,B->B,0.7586206896551724,0.7058823529411765
a_10: A | a_20: A ,A->A,0.8696319018404908,0.7541899441340782
a_10: B | a_20: A ,A->B,0.1303680981595092,0.24581005586592178
a_10: A | a_20: B ,B->A,0.3411764705882353,0.1111111111111111
a_10: B | a_20: B ,B->B,0.6588235294117647,0.8888888888888888
a_5: A | a_30: A ,A->A,0.6715176715176715,0.38513513513513514
a_5: B | a_30: A ,A->B,0.3284823284823285,0.6148648648648649
a_5: A | a_30: B ,B->A,0.3103448275862069,0.17647058823529413
a_5: B | a_30: B ,B->B,0.6896551724137931,0.8235294117647058
a_5: A | a_20: A ,A->A,0.7147239263803681,0.46368715083798884
a_5: B | a_20: A ,A->B,0.2852760736196319,0.5363128491620112
a_5: A | a_20: B ,B->A,0.43529411764705883,0.08333333333333333
a_5: B | a_20: B ,B->B,0.5647058823529412,0.9166666666666666
a_5: A | a_10: A ,A->A,0.7985507246376812,0.5973154362416108
a_5: B | a_10: A ,A->B,0.20144927536231885,0.3959731543624161
a_5: A | a_10: B ,B->A,0.2582781456953642,0.038461538461538464
a_5: B | a_10: B ,B->B,0.7417218543046358,0.9615384615384616
a_1: A | a_30: A ,A->A,0.5696465696465697,0.10810810810810811
a_1: B | a_30: A ,A->B,0.4303534303534304,0.8918918918918919
a_1: A | a_30: B ,B->A,0.3448275862068966,0.058823529411764705
a_1: B | a_30: B ,B->B,0.6551724137931034,0.9411764705882353
a_1: A | a_20: A ,A->A,0.602760736196319,0.11173184357541899
a_1: B | a_20: A ,A->B,0.39723926380368096,0.888268156424581
a_1: A | a_20: B ,B->A,0.4117647058823529,0.05555555555555555
a_1: B | a_20: B ,B->B,0.5882352941176471,0.9444444444444444
a_1: A | a_10: A ,A->A,0.6536231884057971,0.15436241610738255
a_1: B | a_10: A ,A->B,0.3463768115942029,0.8456375838926175
a_1: A | a_10: B ,B->A,0.3841059602649007,0.02564102564102564
a_1: B | a_10: B ,B->B,0.6158940397350994,0.9743589743589743
a_1: A | a_5: A ,A->A,0.7491582491582491,0.22580645161290322
a_1: B | a_5: A ,A->B,0.25084175084175087,0.7741935483870968
a_1: A | a_5: B ,B->A,0.26587301587301587,0.022388059701492536
a_1: B | a_5: B ,B->B,0.7341269841269841,0.9776119402985075
a_0: A | a_30: A ,A->A,0.5218295218295218,0.033783783783783786
a_0: B | a_30: A ,A->B,0.4781704781704782,0.9662162162162162
a_0: A | a_30: B ,B->A,0.27586206896551724,0.0
a_0: B | a_30: B ,B->B,0.7241379310344828,1.0
a_0: A | a_20: A ,A->A,0.5521472392638037,0.027932960893854747
a_0: B | a_20: A ,A->B,0.44785276073619634,0.9720670391061452
a_0: A | a_20: B ,B->A,0.3176470588235294,0.05555555555555555
a_0: B | a_20: B ,B->B,0.6823529411764706,0.9444444444444444
a_0: A | a_10: A ,A->A,0.5898550724637681,0.04697986577181208
a_0: B | a_10: A ,A->B,0.40869565217391307,0.9530201342281879
a_0: A | a_10: B ,B->A,0.3973509933774834,0.01282051282051282
a_0: B | a_10: B ,B->B,0.6026490066225165,0.9871794871794872
a_0: A | a_5: A ,A->A,0.6632996632996633,0.053763440860215055
a_0: B | a_5: A ,A->B,0.335016835016835,0.946236559139785
a_0: A | a_5: B ,B->A,0.30158730158730157,0.022388059701492536
a_0: B | a_5: B ,B->B,0.6944444444444444,0.9776119402985075
a_0: A | a_1: A ,A->A,0.818359375,0.24
a_0: B | a_1: A ,A->B,0.1796875,0.76
a_0: A | a_1: B ,B->A,0.15269461077844312,0.009852216748768473
a_0: B | a_1: B ,B->B,0.844311377245509,0.9901477832512315
