labels,nacademic,pattern,academic
a_20: A | a_30: A ,0.9549071618037135,A->A,0.9279279279279279
a_20: B | a_30: A ,0.04509283819628647,A->B,0.07207207207207207
a_20: A | a_30: B ,0.07142857142857142,B->A,0.12
a_20: B | a_30: B ,0.9285714285714286,B->B,0.88
a_10: A | a_30: A ,0.8381962864721485,A->A,0.7792792792792793
a_10: B | a_30: A ,0.16180371352785147,A->B,0.22072072072072071
a_10: A | a_30: B ,0.16666666666666666,B->A,0.32
a_10: B | a_30: B ,0.8333333333333334,B->B,0.68
a_10: A | a_20: A ,0.8647166361974405,A->A,0.8412698412698413
a_10: B | a_20: A ,0.13528336380255943,A->B,0.15873015873015872
a_10: A | a_20: B ,0.21348314606741572,B->A,0.20408163265306123
a_10: B | a_20: B ,0.7865168539325843,B->B,0.7755102040816326
a_5: A | a_30: A ,0.6339522546419099,A->A,0.6576576576576577
a_5: B | a_30: A ,0.3660477453580902,A->B,0.34234234234234234
a_5: A | a_30: B ,0.23809523809523808,B->A,0.36
a_5: B | a_30: B ,0.7619047619047619,B->B,0.64
a_5: A | a_20: A ,0.6617915904936015,A->A,0.6984126984126984
a_5: B | a_20: A ,0.3382084095063985,A->B,0.30158730158730157
a_5: A | a_20: B ,0.1797752808988764,B->A,0.2653061224489796
a_5: B | a_20: B ,0.8202247191011236,B->B,0.7346938775510204
a_5: A | a_10: A ,0.7538726333907056,A->A,0.7875
a_5: B | a_10: A ,0.24612736660929432,A->B,0.2125
a_5: A | a_10: B ,0.12048192771084337,B->A,0.1728395061728395
a_5: B | a_10: B ,0.8795180722891566,B->B,0.8271604938271605
a_1: A | a_30: A ,0.40318302387267907,A->A,0.5315315315315315
a_1: B | a_30: A ,0.596816976127321,A->B,0.46846846846846846
a_1: A | a_30: B ,0.19047619047619047,B->A,0.4
a_1: B | a_30: B ,0.8095238095238095,B->B,0.6
a_1: A | a_20: A ,0.3930530164533821,A->A,0.5436507936507936
a_1: B | a_20: A ,0.6069469835466179,A->B,0.45634920634920634
a_1: A | a_20: B ,0.29213483146067415,B->A,0.2857142857142857
a_1: B | a_20: B ,0.7078651685393258,B->B,0.7142857142857143
a_1: A | a_10: A ,0.4388984509466437,A->A,0.5791666666666667
a_1: B | a_10: A ,0.5611015490533563,A->B,0.42083333333333334
a_1: A | a_10: B ,0.23493975903614459,B->A,0.24691358024691357
a_1: B | a_10: B ,0.7650602409638554,B->B,0.7530864197530864
a_1: A | a_5: A ,0.5488069414316703,A->A,0.6862745098039216
a_1: B | a_5: A ,0.4511930585683297,A->B,0.3137254901960784
a_1: A | a_5: B ,0.15120274914089346,B->A,0.1694915254237288
a_1: B | a_5: B ,0.8487972508591065,B->B,0.8305084745762712
a_0: A | a_30: A ,0.33156498673740054,A->A,0.4864864864864865
a_0: B | a_30: A ,0.6684350132625995,A->B,0.5135135135135135
a_0: A | a_30: B ,0.30952380952380953,B->A,0.4
a_0: B | a_30: B ,0.6904761904761905,B->B,0.6
a_0: A | a_20: A ,0.33638025594149906,A->A,0.49603174603174605
a_0: B | a_20: A ,0.6636197440585009,A->B,0.503968253968254
a_0: A | a_20: B ,0.30337078651685395,B->A,0.2857142857142857
a_0: B | a_20: B ,0.6966292134831461,B->B,0.7142857142857143
a_0: A | a_10: A ,0.3717728055077453,A->A,0.5333333333333333
a_0: B | a_10: A ,0.6282271944922547,A->B,0.4666666666666667
a_0: A | a_10: B ,0.2469879518072289,B->A,0.2839506172839506
a_0: B | a_10: B ,0.7530120481927711,B->B,0.7160493827160493
a_0: A | a_5: A ,0.4598698481561822,A->A,0.6127450980392157
a_0: B | a_5: A ,0.5401301518438177,A->B,0.3872549019607843
a_0: A | a_5: B ,0.16494845360824742,B->A,0.2288135593220339
a_0: B | a_5: B ,0.8350515463917526,B->B,0.7711864406779662
a_0: A | a_1: A ,0.7373737373737373,A->A,0.86875
a_0: B | a_1: A ,0.26262626262626265,A->B,0.13125
a_0: A | a_1: B ,0.09010989010989011,B->A,0.08024691358024691
a_0: B | a_1: B ,0.9098901098901099,B->B,0.9197530864197531
