labels,nobese,pattern,obese
a_20: A | a_30: A ,0.9469026548672567,A->A,0.9387755102040817
a_20: B | a_30: A ,0.05309734513274336,A->B,0.061224489795918366
a_20: A | a_30: B ,0.08163265306122448,B->A,0.1111111111111111
a_20: B | a_30: B ,0.9183673469387755,B->B,0.8888888888888888
a_10: A | a_30: A ,0.8185840707964602,A->A,0.8095238095238095
a_10: B | a_30: A ,0.18141592920353983,A->B,0.19047619047619047
a_10: A | a_30: B ,0.2653061224489796,B->A,0.1111111111111111
a_10: B | a_30: B ,0.7346938775510204,B->B,0.8888888888888888
a_10: A | a_20: A ,0.862012987012987,A->A,0.8415300546448088
a_10: B | a_20: A ,0.137987012987013,A->B,0.15846994535519127
a_10: A | a_20: B ,0.2523364485981308,B->A,0.06451612903225806
a_10: B | a_20: B ,0.7383177570093458,B->B,0.9354838709677419
a_5: A | a_30: A ,0.6814159292035398,A->A,0.5238095238095238
a_5: B | a_30: A ,0.3185840707964602,A->B,0.47619047619047616
a_5: A | a_30: B ,0.32653061224489793,B->A,0.16666666666666666
a_5: B | a_30: B ,0.673469387755102,B->B,0.8333333333333334
a_5: A | a_20: A ,0.7142857142857143,A->A,0.5355191256830601
a_5: B | a_20: A ,0.2857142857142857,A->B,0.4644808743169399
a_5: A | a_20: B ,0.2523364485981308,B->A,0.06451612903225806
a_5: B | a_20: B ,0.7476635514018691,B->B,0.9354838709677419
a_5: A | a_10: A ,0.7942073170731707,A->A,0.6424242424242425
a_5: B | a_10: A ,0.20579268292682926,A->B,0.3575757575757576
a_5: A | a_10: B ,0.16666666666666666,B->A,0.04918032786885246
a_5: B | a_10: B ,0.8333333333333334,B->B,0.9508196721311475
a_1: A | a_30: A ,0.5022123893805309,A->A,0.2925170068027211
a_1: B | a_30: A ,0.497787610619469,A->B,0.7074829931972789
a_1: A | a_30: B ,0.32653061224489793,B->A,0.1111111111111111
a_1: B | a_30: B ,0.673469387755102,B->B,0.8888888888888888
a_1: A | a_20: A ,0.487012987012987,A->A,0.28415300546448086
a_1: B | a_20: A ,0.512987012987013,A->B,0.7158469945355191
a_1: A | a_20: B ,0.3364485981308411,B->A,0.12903225806451613
a_1: B | a_20: B ,0.6635514018691588,B->B,0.8709677419354839
a_1: A | a_10: A ,0.5152439024390244,A->A,0.3393939393939394
a_1: B | a_10: A ,0.4847560975609756,A->B,0.6606060606060606
a_1: A | a_10: B ,0.2903225806451613,B->A,0.08196721311475409
a_1: B | a_10: B ,0.7096774193548387,B->B,0.9180327868852459
a_1: A | a_5: A ,0.6144144144144145,A->A,0.4727272727272727
a_1: B | a_5: A ,0.3855855855855856,A->B,0.5272727272727272
a_1: A | a_5: B ,0.18556701030927836,B->A,0.0847457627118644
a_1: B | a_5: B ,0.8144329896907216,B->B,0.9152542372881356
a_0: A | a_30: A ,0.4469026548672566,A->A,0.2108843537414966
a_0: B | a_30: A ,0.5530973451327433,A->B,0.7891156462585034
a_0: A | a_30: B ,0.3877551020408163,B->A,0.2222222222222222
a_0: B | a_30: B ,0.6122448979591837,B->B,0.7777777777777778
a_0: A | a_20: A ,0.4383116883116883,A->A,0.21311475409836064
a_0: B | a_20: A ,0.5616883116883117,A->B,0.7868852459016393
a_0: A | a_20: B ,0.34579439252336447,B->A,0.12903225806451613
a_0: B | a_20: B ,0.6542056074766355,B->B,0.8709677419354839
a_0: A | a_10: A ,0.4603658536585366,A->A,0.2545454545454545
a_0: B | a_10: A ,0.5396341463414634,A->B,0.7454545454545455
a_0: A | a_10: B ,0.3225806451612903,B->A,0.06557377049180328
a_0: B | a_10: B ,0.6774193548387096,B->B,0.9344262295081968
a_0: A | a_5: A ,0.5387387387387388,A->A,0.34545454545454546
a_0: B | a_5: A ,0.46126126126126127,A->B,0.6545454545454545
a_0: A | a_5: B ,0.23024054982817868,B->A,0.06779661016949153
a_0: B | a_5: B ,0.7697594501718213,B->B,0.9322033898305084
a_0: A | a_1: A ,0.810126582278481,A->A,0.6129032258064516
a_0: B | a_1: A ,0.189873417721519,A->B,0.3870967741935484
a_0: A | a_1: B ,0.10199556541019955,B->A,0.04819277108433735
a_0: B | a_1: B ,0.8980044345898004,B->B,0.9518072289156626
