labels,probs,pattern
a_20: A | a_30: A ,0.8738170347003155,A->A
a_20: B | a_30: A ,0.12618296529968454,A->B
a_20: A | a_30: B ,0.2287390029325513,B->A
a_20: B | a_30: B ,0.7712609970674487,B->B
a_10: A | a_30: A ,0.7476340694006309,A->A
a_10: B | a_30: A ,0.25236593059936907,A->B
a_10: A | a_30: B ,0.31671554252199413,B->A
a_10: B | a_30: B ,0.6832844574780058,B->B
a_10: A | a_20: A ,0.822,A->A
a_10: B | a_20: A ,0.178,A->B
a_10: A | a_20: B ,0.2318181818181818,B->A
a_10: B | a_20: B ,0.7681818181818182,B->B
a_5: A | a_30: A ,0.6656151419558359,A->A
a_5: B | a_30: A ,0.334384858044164,A->B
a_5: A | a_30: B ,0.3782991202346041,B->A
a_5: B | a_30: B ,0.6217008797653959,B->B
a_5: A | a_20: A ,0.662,A->A
a_5: B | a_20: A ,0.338,A->B
a_5: A | a_20: B ,0.3431818181818182,B->A
a_5: B | a_20: B ,0.6568181818181819,B->B
a_5: A | a_10: A ,0.760539629005059,A->A
a_5: B | a_10: A ,0.23946037099494097,A->B
a_5: A | a_10: B ,0.2336842105263158,B->A
a_5: B | a_10: B ,0.7663157894736842,B->B
a_1: A | a_30: A ,0.5047318611987381,A->A
a_1: B | a_30: A ,0.4952681388012618,A->B
a_1: A | a_30: B ,0.3196480938416422,B->A
a_1: B | a_30: B ,0.6803519061583577,B->B
a_1: A | a_20: A ,0.51,A->A
a_1: B | a_20: A ,0.49,A->B
a_1: A | a_20: B ,0.32727272727272727,B->A
a_1: B | a_20: B ,0.6704545454545454,B->B
a_1: A | a_10: A ,0.5413153456998314,A->A
a_1: B | a_10: A ,0.45699831365935917,A->B
a_1: A | a_10: B ,0.29894736842105263,B->A
a_1: B | a_10: B ,0.7010526315789474,B->B
a_1: A | a_5: A ,0.6300884955752213,A->A
a_1: B | a_5: A ,0.36991150442477877,A->B
a_1: A | a_5: B ,0.21414538310412573,B->A
a_1: B | a_5: B ,0.7838899803536346,B->B
a_0: A | a_30: A ,0.4195583596214511,A->A
a_0: B | a_30: A ,0.580441640378549,A->B
a_0: A | a_30: B ,0.30498533724340177,B->A
a_0: B | a_30: B ,0.6950146627565983,B->B
a_0: A | a_20: A ,0.448,A->A
a_0: B | a_20: A ,0.552,A->B
a_0: A | a_20: B ,0.31136363636363634,B->A
a_0: B | a_20: B ,0.6886363636363636,B->B
a_0: A | a_10: A ,0.4806070826306914,A->A
a_0: B | a_10: A ,0.5193929173693086,A->B
a_0: A | a_10: B ,0.2863157894736842,B->A
a_0: B | a_10: B ,0.7136842105263158,B->B
a_0: A | a_5: A ,0.5415929203539823,A->A
a_0: B | a_5: A ,0.4584070796460177,A->B
a_0: A | a_5: B ,0.22986247544204322,B->A
a_0: B | a_5: B ,0.7701375245579568,B->B
a_0: A | a_1: A ,0.6967741935483871,A->A
a_0: B | a_1: A ,0.3032258064516129,A->B
a_0: A | a_1: B ,0.16282894736842105,B->A
a_0: B | a_1: B ,0.837171052631579,B->B
