labels,M,pattern,F
a_20: A | a_30: A ,0.9,A->A,0.8531073446327684
a_20: B | a_30: A ,0.1,A->B,0.14689265536723164
a_20: A | a_30: B ,0.23076923076923078,B->A,0.22813688212927757
a_20: B | a_30: B ,0.7692307692307693,B->B,0.7718631178707225
a_10: A | a_30: A ,0.7785714285714286,A->A,0.7231638418079096
a_10: B | a_30: A ,0.22142857142857142,A->B,0.2768361581920904
a_10: A | a_30: B ,0.3333333333333333,B->A,0.311787072243346
a_10: B | a_30: B ,0.6666666666666666,B->B,0.688212927756654
a_10: A | a_20: A ,0.8349514563106796,A->A,0.8129251700680272
a_10: B | a_20: A ,0.1650485436893204,A->B,0.1870748299319728
a_10: A | a_20: B ,0.2809917355371901,B->A,0.21316614420062696
a_10: B | a_20: B ,0.71900826446281,B->B,0.786833855799373
a_5: A | a_30: A ,0.6785714285714286,A->A,0.655367231638418
a_5: B | a_30: A ,0.32142857142857145,A->B,0.3446327683615819
a_5: A | a_30: B ,0.3974358974358974,B->A,0.3726235741444867
a_5: B | a_30: B ,0.6025641025641025,B->B,0.6273764258555133
a_5: A | a_20: A ,0.6990291262135923,A->A,0.6360544217687075
a_5: B | a_20: A ,0.30097087378640774,A->B,0.36394557823129253
a_5: A | a_20: B ,0.35537190082644626,B->A,0.3385579937304075
a_5: B | a_20: B ,0.6446280991735537,B->B,0.6614420062695925
a_5: A | a_10: A ,0.7777777777777778,A->A,0.7485714285714286
a_5: B | a_10: A ,0.2222222222222222,A->B,0.25142857142857145
a_5: A | a_10: B ,0.24113475177304963,B->A,0.23053892215568864
a_5: B | a_10: B ,0.7588652482269503,B->B,0.7694610778443114
a_1: A | a_30: A ,0.4785714285714286,A->A,0.5254237288135594
a_1: B | a_30: A ,0.5214285714285715,A->B,0.4745762711864407
a_1: A | a_30: B ,0.2948717948717949,B->A,0.3269961977186312
a_1: B | a_30: B ,0.7051282051282052,B->B,0.6730038022813688
a_1: A | a_20: A ,0.5,A->A,0.5170068027210885
a_1: B | a_20: A ,0.5,A->B,0.48299319727891155
a_1: A | a_20: B ,0.2892561983471074,B->A,0.34169278996865204
a_1: B | a_20: B ,0.7024793388429752,B->B,0.658307210031348
a_1: A | a_10: A ,0.5390946502057613,A->A,0.5428571428571428
a_1: B | a_10: A ,0.4567901234567901,A->B,0.45714285714285713
a_1: A | a_10: B ,0.2624113475177305,B->A,0.3143712574850299
a_1: B | a_10: B ,0.7375886524822695,B->B,0.6856287425149701
a_1: A | a_5: A ,0.6278026905829597,A->A,0.631578947368421
a_1: B | a_5: A ,0.3721973094170404,A->B,0.3684210526315789
a_1: A | a_5: B ,0.1728395061728395,B->A,0.2334293948126801
a_1: B | a_5: B ,0.8209876543209876,B->B,0.7665706051873199
a_0: A | a_30: A ,0.39285714285714285,A->A,0.4406779661016949
a_0: B | a_30: A ,0.6071428571428571,A->B,0.559322033898305
a_0: A | a_30: B ,0.2948717948717949,B->A,0.30798479087452474
a_0: B | a_30: B ,0.7051282051282052,B->B,0.6920152091254753
a_0: A | a_20: A ,0.42718446601941745,A->A,0.46258503401360546
a_0: B | a_20: A ,0.5728155339805825,A->B,0.5374149659863946
a_0: A | a_20: B ,0.3305785123966942,B->A,0.30407523510971785
a_0: B | a_20: B ,0.6694214876033058,B->B,0.6959247648902821
a_0: A | a_10: A ,0.4897119341563786,A->A,0.4742857142857143
a_0: B | a_10: A ,0.5102880658436214,A->B,0.5257142857142857
a_0: A | a_10: B ,0.2553191489361702,B->A,0.2994011976047904
a_0: B | a_10: B ,0.7446808510638298,B->B,0.7005988023952096
a_0: A | a_5: A ,0.547085201793722,A->A,0.5380116959064327
a_0: B | a_5: A ,0.452914798206278,A->B,0.4619883040935672
a_0: A | a_5: B ,0.2037037037037037,B->A,0.2420749279538905
a_0: B | a_5: B ,0.7962962962962963,B->B,0.7579250720461095
a_0: A | a_1: A ,0.7321428571428571,A->A,0.6767676767676768
a_0: B | a_1: A ,0.26785714285714285,A->B,0.32323232323232326
a_0: A | a_1: B ,0.14814814814814814,B->A,0.17091836734693877
a_0: B | a_1: B ,0.8518518518518519,B->B,0.8290816326530612
