labels,nacademic,pattern,academic
a_20: A | a_30: A ,0.8538011695906432,A->A,0.8972602739726028
a_20: B | a_30: A ,0.14619883040935672,A->B,0.10273972602739725
a_20: A | a_30: B ,0.19665271966527198,B->A,0.30392156862745096
a_20: B | a_30: B ,0.803347280334728,B->B,0.696078431372549
a_10: A | a_30: A ,0.7192982456140351,A->A,0.7808219178082192
a_10: B | a_30: A ,0.2807017543859649,A->B,0.2191780821917808
a_10: A | a_30: B ,0.25523012552301255,B->A,0.46078431372549017
a_10: B | a_30: B ,0.7447698744769874,B->B,0.5392156862745098
a_10: A | a_20: A ,0.8057324840764332,A->A,0.8494623655913979
a_10: B | a_20: A ,0.1942675159235669,A->B,0.15053763440860216
a_10: A | a_20: B ,0.20923076923076922,B->A,0.2956521739130435
a_10: B | a_20: B ,0.7907692307692308,B->B,0.7043478260869566
a_5: A | a_30: A ,0.6081871345029239,A->A,0.7328767123287672
a_5: B | a_30: A ,0.391812865497076,A->B,0.2671232876712329
a_5: A | a_30: B ,0.3179916317991632,B->A,0.5196078431372549
a_5: B | a_30: B ,0.6820083682008368,B->B,0.4803921568627451
a_5: A | a_20: A ,0.6210191082802548,A->A,0.7311827956989247
a_5: B | a_20: A ,0.37898089171974525,A->B,0.26881720430107525
a_5: A | a_20: B ,0.31384615384615383,B->A,0.4260869565217391
a_5: B | a_20: B ,0.6861538461538461,B->B,0.5739130434782609
a_5: A | a_10: A ,0.7384615384615385,A->A,0.8029556650246306
a_5: B | a_10: A ,0.26153846153846155,A->B,0.19704433497536947
a_5: A | a_10: B ,0.21910112359550563,B->A,0.2773109243697479
a_5: B | a_10: B ,0.7808988764044944,B->B,0.7226890756302521
a_1: A | a_30: A ,0.4093567251461988,A->A,0.6164383561643836
a_1: B | a_30: A ,0.5906432748538012,A->B,0.3835616438356164
a_1: A | a_30: B ,0.2803347280334728,B->A,0.4117647058823529
a_1: B | a_30: B ,0.7196652719665272,B->B,0.5882352941176471
a_1: A | a_20: A ,0.44904458598726116,A->A,0.6129032258064516
a_1: B | a_20: A ,0.5509554140127388,A->B,0.3870967741935484
a_1: A | a_20: B ,0.30153846153846153,B->A,0.4
a_1: B | a_20: B ,0.6953846153846154,B->B,0.6
a_1: A | a_10: A ,0.5025641025641026,A->A,0.6157635467980296
a_1: B | a_10: A ,0.4948717948717949,A->B,0.3842364532019704
a_1: A | a_10: B ,0.27808988764044945,B->A,0.36134453781512604
a_1: B | a_10: B ,0.7219101123595506,B->B,0.6386554621848739
a_1: A | a_5: A ,0.5962059620596206,A->A,0.6938775510204082
a_1: B | a_5: A ,0.4037940379403794,A->B,0.30612244897959184
a_1: A | a_5: B ,0.2010443864229765,B->A,0.25396825396825395
a_1: B | a_5: B ,0.7963446475195822,B->B,0.746031746031746
a_0: A | a_30: A ,0.3333333333333333,A->A,0.5205479452054794
a_0: B | a_30: A ,0.6666666666666666,A->B,0.4794520547945205
a_0: A | a_30: B ,0.2594142259414226,B->A,0.4117647058823529
a_0: B | a_30: B ,0.7405857740585774,B->B,0.5882352941176471
a_0: A | a_20: A ,0.39490445859872614,A->A,0.5376344086021505
a_0: B | a_20: A ,0.6050955414012739,A->B,0.46236559139784944
a_0: A | a_20: B ,0.2923076923076923,B->A,0.3652173913043478
a_0: B | a_20: B ,0.7076923076923077,B->B,0.6347826086956522
a_0: A | a_10: A ,0.441025641025641,A->A,0.5566502463054187
a_0: B | a_10: A ,0.558974358974359,A->B,0.4433497536945813
a_0: A | a_10: B ,0.28370786516853935,B->A,0.29411764705882354
a_0: B | a_10: B ,0.7162921348314607,B->B,0.7058823529411765
a_0: A | a_5: A ,0.5067750677506775,A->A,0.6071428571428571
a_0: B | a_5: A ,0.4932249322493225,A->B,0.39285714285714285
a_0: A | a_5: B ,0.2297650130548303,B->A,0.23015873015873015
a_0: B | a_5: B ,0.7702349869451697,B->B,0.7698412698412699
a_0: A | a_1: A ,0.67003367003367,A->A,0.7440476190476191
a_0: B | a_1: A ,0.32996632996632996,A->B,0.25595238095238093
a_0: A | a_1: B ,0.16740088105726872,B->A,0.14935064935064934
a_0: B | a_1: B ,0.8325991189427313,B->B,0.8506493506493507
