labels,probs,pattern
a_20: A | a_30: A ,0.8032786885245902,A->A
a_20: B | a_30: A ,0.19672131147540983,A->B
a_20: A | a_30: B ,0.07796610169491526,B->A
a_20: B | a_30: B ,0.9203389830508475,B->B
a_10: A | a_30: A ,0.5573770491803278,A->A
a_10: B | a_30: A ,0.4426229508196721,A->B
a_10: A | a_30: B ,0.2135593220338983,B->A
a_10: B | a_30: B ,0.7847457627118644,B->B
a_10: A | a_20: A ,0.7037037037037037,A->A
a_10: B | a_20: A ,0.2962962962962963,A->B
a_10: A | a_20: B ,0.15365853658536585,B->A
a_10: B | a_20: B ,0.8463414634146341,B->B
a_5: A | a_30: A ,0.6721311475409836,A->A
a_5: B | a_30: A ,0.32786885245901637,A->B
a_5: A | a_30: B ,0.34067796610169493,B->A
a_5: B | a_30: B ,0.6576271186440678,B->B
a_5: A | a_20: A ,0.7314814814814815,A->A
a_5: B | a_20: A ,0.26851851851851855,A->B
a_5: A | a_20: B ,0.3048780487804878,B->A
a_5: B | a_20: B ,0.6939024390243902,B->B
a_5: A | a_10: A ,0.7342995169082126,A->A
a_5: B | a_10: A ,0.2608695652173913,A->B
a_5: A | a_10: B ,0.24037339556592766,B->A
a_5: B | a_10: B ,0.7596266044340724,B->B
a_1: A | a_30: A ,0.5573770491803278,A->A
a_1: B | a_30: A ,0.4426229508196721,A->B
a_1: A | a_30: B ,0.4847457627118644,B->A
a_1: B | a_30: B ,0.5152542372881356,B->B
a_1: A | a_20: A ,0.6759259259259259,A->A
a_1: B | a_20: A ,0.32407407407407407,A->B
a_1: A | a_20: B ,0.5024390243902439,B->A
a_1: B | a_20: B ,0.4975609756097561,B->B
a_1: A | a_10: A ,0.6666666666666666,A->A
a_1: B | a_10: A ,0.3333333333333333,A->B
a_1: A | a_10: B ,0.48191365227537925,B->A
a_1: B | a_10: B ,0.5180863477246208,B->B
a_1: A | a_5: A ,0.7638888888888888,A->A
a_1: B | a_5: A ,0.2361111111111111,A->B
a_1: A | a_5: B ,0.3873239436619718,B->A
a_1: B | a_5: B ,0.6126760563380281,B->B
a_0: A | a_30: A ,0.4426229508196721,A->A
a_0: B | a_30: A ,0.5573770491803278,A->B
a_0: A | a_30: B ,0.43050847457627117,B->A
a_0: B | a_30: B ,0.5677966101694916,B->B
a_0: A | a_20: A ,0.5648148148148148,A->A
a_0: B | a_20: A ,0.4351851851851852,A->B
a_0: A | a_20: B ,0.4573170731707317,B->A
a_0: B | a_20: B ,0.5414634146341464,B->B
a_0: A | a_10: A ,0.5797101449275363,A->A
a_0: B | a_10: A ,0.42028985507246375,A->B
a_0: A | a_10: B ,0.44807467911318555,B->A
a_0: B | a_10: B ,0.5507584597432905,B->B
a_0: A | a_5: A ,0.6583333333333333,A->A
a_0: B | a_5: A ,0.3416666666666667,A->B
a_0: A | a_5: B ,0.376056338028169,B->A
a_0: B | a_5: B ,0.6225352112676056,B->B
a_0: A | a_1: A ,0.75,A->A
a_0: B | a_1: A ,0.25,A->B
a_0: A | a_1: B ,0.1765834932821497,B->A
a_0: B | a_1: B ,0.8214971209213052,B->B
