labels,M,pattern,F
a_20: A | a_30: A ,0.75,A->A,0.8292682926829268
a_20: B | a_30: A ,0.25,A->B,0.17073170731707318
a_20: A | a_30: B ,0.06,B->A,0.08717948717948718
a_20: B | a_30: B ,0.94,B->B,0.9102564102564102
a_10: A | a_30: A ,0.45,A->A,0.6097560975609756
a_10: B | a_30: A ,0.55,A->B,0.3902439024390244
a_10: A | a_30: B ,0.165,B->A,0.23846153846153847
a_10: B | a_30: B ,0.835,B->B,0.7589743589743589
a_10: A | a_20: A ,0.625,A->A,0.7368421052631579
a_10: B | a_20: A ,0.375,A->B,0.2631578947368421
a_10: A | a_20: B ,0.12413793103448276,B->A,0.16981132075471697
a_10: B | a_20: B ,0.8758620689655172,B->B,0.8301886792452831
a_5: A | a_30: A ,0.55,A->A,0.7317073170731707
a_5: B | a_30: A ,0.45,A->B,0.2682926829268293
a_5: A | a_30: B ,0.315,B->A,0.35384615384615387
a_5: B | a_30: B ,0.685,B->B,0.6435897435897436
a_5: A | a_20: A ,0.625,A->A,0.7763157894736842
a_5: B | a_20: A ,0.375,A->B,0.2236842105263158
a_5: A | a_20: B ,0.29310344827586204,B->A,0.3113207547169811
a_5: B | a_20: B ,0.7068965517241379,B->B,0.6867924528301886
a_5: A | a_10: A ,0.7543859649122807,A->A,0.7266666666666667
a_5: B | a_10: A ,0.24561403508771928,A->B,0.26666666666666666
a_5: A | a_10: B ,0.22153846153846155,B->A,0.2518796992481203
a_5: B | a_10: B ,0.7784615384615384,B->B,0.7481203007518797
a_1: A | a_30: A ,0.45,A->A,0.6097560975609756
a_1: B | a_30: A ,0.55,A->B,0.3902439024390244
a_1: A | a_30: B ,0.405,B->A,0.5256410256410257
a_1: B | a_30: B ,0.595,B->B,0.47435897435897434
a_1: A | a_20: A ,0.625,A->A,0.6973684210526315
a_1: B | a_20: A ,0.375,A->B,0.3026315789473684
a_1: A | a_20: B ,0.4206896551724138,B->A,0.5471698113207547
a_1: B | a_20: B ,0.5793103448275863,B->B,0.4528301886792453
a_1: A | a_10: A ,0.6666666666666666,A->A,0.6666666666666666
a_1: B | a_10: A ,0.3333333333333333,A->B,0.3333333333333333
a_1: A | a_10: B ,0.39384615384615385,B->A,0.5357142857142857
a_1: B | a_10: B ,0.6061538461538462,B->B,0.4642857142857143
a_1: A | a_5: A ,0.7155172413793104,A->A,0.7868852459016393
a_1: B | a_5: A ,0.28448275862068967,A->B,0.21311475409836064
a_1: A | a_5: B ,0.30970149253731344,B->A,0.4343891402714932
a_1: B | a_5: B ,0.6902985074626866,B->B,0.5656108597285068
a_0: A | a_30: A ,0.4,A->A,0.4634146341463415
a_0: B | a_30: A ,0.6,A->B,0.5365853658536586
a_0: A | a_30: B ,0.34,B->A,0.47692307692307695
a_0: B | a_30: B ,0.66,B->B,0.5205128205128206
a_0: A | a_20: A ,0.46875,A->A,0.6052631578947368
a_0: B | a_20: A ,0.53125,A->B,0.39473684210526316
a_0: A | a_20: B ,0.3620689655172414,B->A,0.5094339622641509
a_0: B | a_20: B ,0.6379310344827587,B->B,0.48867924528301887
a_0: A | a_10: A ,0.5087719298245614,A->A,0.6066666666666667
a_0: B | a_10: A ,0.49122807017543857,A->B,0.3933333333333333
a_0: A | a_10: B ,0.3630769230769231,B->A,0.5
a_0: B | a_10: B ,0.6369230769230769,B->B,0.4981203007518797
a_0: A | a_5: A ,0.5948275862068966,A->A,0.6885245901639344
a_0: B | a_5: A ,0.4051724137931034,A->B,0.3114754098360656
a_0: A | a_5: B ,0.291044776119403,B->A,0.4276018099547511
a_0: B | a_5: B ,0.7089552238805971,B->B,0.5701357466063348
a_0: A | a_1: A ,0.7125748502994012,A->A,0.7662337662337663
a_0: B | a_1: A ,0.2874251497005988,A->B,0.23376623376623376
a_0: A | a_1: B ,0.12844036697247707,B->A,0.21122112211221122
a_0: B | a_1: B ,0.8715596330275229,B->B,0.7854785478547854
