labels,nacademic,pattern,academic
a_20: A | a_30: A ,0.7777777777777778,A->A,0.84
a_20: B | a_30: A ,0.2222222222222222,A->B,0.16
a_20: A | a_30: B ,0.06933333333333333,B->A,0.09302325581395349
a_20: B | a_30: B ,0.928,B->B,0.9069767441860465
a_10: A | a_30: A ,0.4166666666666667,A->A,0.76
a_10: B | a_30: A ,0.5833333333333334,A->B,0.24
a_10: A | a_30: B ,0.192,B->A,0.25116279069767444
a_10: B | a_30: B ,0.8053333333333333,B->B,0.7488372093023256
a_10: A | a_20: A ,0.65625,A->A,0.7727272727272727
a_10: B | a_20: A ,0.34375,A->B,0.22727272727272727
a_10: A | a_20: B ,0.13628318584070798,B->A,0.19215686274509805
a_10: B | a_20: B ,0.863716814159292,B->B,0.807843137254902
a_5: A | a_30: A ,0.6666666666666666,A->A,0.68
a_5: B | a_30: A ,0.3333333333333333,A->B,0.32
a_5: A | a_30: B ,0.296,B->A,0.4186046511627907
a_5: B | a_30: B ,0.7013333333333334,B->B,0.5813953488372093
a_5: A | a_20: A ,0.71875,A->A,0.75
a_5: B | a_20: A ,0.28125,A->B,0.25
a_5: A | a_20: B ,0.2672566371681416,B->A,0.38823529411764707
a_5: B | a_20: B ,0.7309734513274336,B->B,0.611764705882353
a_5: A | a_10: A ,0.7016129032258065,A->A,0.7831325301204819
a_5: B | a_10: A ,0.2903225806451613,A->B,0.21686746987951808
a_5: A | a_10: B ,0.2148626817447496,B->A,0.3067226890756303
a_5: B | a_10: B ,0.7851373182552503,B->B,0.6932773109243697
a_1: A | a_30: A ,0.4722222222222222,A->A,0.68
a_1: B | a_30: A ,0.5277777777777778,A->B,0.32
a_1: A | a_30: B ,0.456,B->A,0.5348837209302325
a_1: B | a_30: B ,0.544,B->B,0.46511627906976744
a_1: A | a_20: A ,0.609375,A->A,0.7727272727272727
a_1: B | a_20: A ,0.390625,A->B,0.22727272727272727
a_1: A | a_20: B ,0.4902654867256637,B->A,0.5294117647058824
a_1: B | a_20: B ,0.5097345132743363,B->B,0.47058823529411764
a_1: A | a_10: A ,0.6290322580645161,A->A,0.7228915662650602
a_1: B | a_10: A ,0.3709677419354839,A->B,0.27710843373493976
a_1: A | a_10: B ,0.47334410339256866,B->A,0.5042016806722689
a_1: B | a_10: B ,0.5266558966074314,B->B,0.4957983193277311
a_1: A | a_5: A ,0.7207207207207207,A->A,0.8333333333333334
a_1: B | a_5: A ,0.27927927927927926,A->B,0.16666666666666666
a_1: A | a_5: B ,0.39923954372623577,B->A,0.3532608695652174
a_1: B | a_5: B ,0.6007604562737643,B->B,0.6467391304347826
a_0: A | a_30: A ,0.3888888888888889,A->A,0.52
a_0: B | a_30: A ,0.6111111111111112,A->B,0.48
a_0: A | a_30: B ,0.42933333333333334,B->A,0.4325581395348837
a_0: B | a_30: B ,0.568,B->B,0.5674418604651162
a_0: A | a_20: A ,0.53125,A->A,0.6136363636363636
a_0: B | a_20: A ,0.46875,A->B,0.38636363636363635
a_0: A | a_20: B ,0.46017699115044247,B->A,0.45098039215686275
a_0: B | a_20: B ,0.5380530973451327,B->B,0.5490196078431373
a_0: A | a_10: A ,0.5403225806451613,A->A,0.6385542168674698
a_0: B | a_10: A ,0.4596774193548387,A->B,0.3614457831325301
a_0: A | a_10: B ,0.4555735056542811,B->A,0.42857142857142855
a_0: B | a_10: B ,0.5428109854604201,B->B,0.5714285714285714
a_0: A | a_5: A ,0.6261261261261262,A->A,0.7101449275362319
a_0: B | a_5: A ,0.3738738738738739,A->B,0.2898550724637681
a_0: A | a_5: B ,0.39923954372623577,B->A,0.30978260869565216
a_0: B | a_5: B ,0.5988593155893536,B->B,0.6902173913043478
a_0: A | a_1: A ,0.728494623655914,A->A,0.7944444444444444
a_0: B | a_1: A ,0.271505376344086,A->B,0.20555555555555555
a_0: A | a_1: B ,0.21108179419525067,B->A,0.08450704225352113
a_0: B | a_1: B ,0.7862796833773087,B->B,0.9154929577464789
