labels,nhdegree,pattern,hdegree
a_20: A | a_30: A ,0.8333333333333334,A->A,0.7837837837837838
a_20: B | a_30: A ,0.16666666666666666,A->B,0.21621621621621623
a_20: A | a_30: B ,0.06691449814126393,B->A,0.08722741433021806
a_20: B | a_30: B ,0.929368029739777,B->B,0.9127725856697819
a_10: A | a_30: A ,0.5833333333333334,A->A,0.5405405405405406
a_10: B | a_30: A ,0.4166666666666667,A->B,0.4594594594594595
a_10: A | a_30: B ,0.1821561338289963,B->A,0.2398753894080997
a_10: B | a_30: B ,0.8141263940520446,B->B,0.7601246105919003
a_10: A | a_20: A ,0.725,A->A,0.6911764705882353
a_10: B | a_20: A ,0.275,A->B,0.3088235294117647
a_10: A | a_20: B ,0.12275449101796407,B->A,0.1748971193415638
a_10: B | a_20: B ,0.8772455089820359,B->B,0.8251028806584362
a_5: A | a_30: A ,0.75,A->A,0.6216216216216216
a_5: B | a_30: A ,0.25,A->B,0.3783783783783784
a_5: A | a_30: B ,0.26394052044609667,B->A,0.40498442367601245
a_5: B | a_30: B ,0.7323420074349443,B->B,0.5950155763239875
a_5: A | a_20: A ,0.725,A->A,0.7352941176470589
a_5: B | a_20: A ,0.275,A->B,0.2647058823529412
a_5: A | a_20: B ,0.20359281437125748,B->A,0.37448559670781895
a_5: B | a_20: B ,0.7934131736526946,B->B,0.6255144032921811
a_5: A | a_10: A ,0.6944444444444444,A->A,0.7555555555555555
a_5: B | a_10: A ,0.2916666666666667,A->B,0.24444444444444444
a_5: A | a_10: B ,0.1544943820224719,B->A,0.3013972055888224
a_5: B | a_10: B ,0.8455056179775281,B->B,0.6986027944111777
a_1: A | a_30: A ,0.5833333333333334,A->A,0.5405405405405406
a_1: B | a_30: A ,0.4166666666666667,A->B,0.4594594594594595
a_1: A | a_30: B ,0.40892193308550184,B->A,0.5482866043613707
a_1: B | a_30: B ,0.5910780669144982,B->B,0.4517133956386293
a_1: A | a_20: A ,0.625,A->A,0.7058823529411765
a_1: B | a_20: A ,0.375,A->B,0.29411764705882354
a_1: A | a_20: B ,0.40119760479041916,B->A,0.5720164609053497
a_1: B | a_20: B ,0.5988023952095808,B->B,0.4279835390946502
a_1: A | a_10: A ,0.5555555555555556,A->A,0.725925925925926
a_1: B | a_10: A ,0.4444444444444444,A->B,0.2740740740740741
a_1: A | a_10: B ,0.38202247191011235,B->A,0.5528942115768463
a_1: B | a_10: B ,0.6179775280898876,B->B,0.4471057884231537
a_1: A | a_5: A ,0.7009345794392523,A->A,0.7905138339920948
a_1: B | a_5: A ,0.29906542056074764,A->B,0.20948616600790515
a_1: A | a_5: B ,0.3076923076923077,B->A,0.45454545454545453
a_1: B | a_5: B ,0.6923076923076923,B->B,0.5454545454545454
a_0: A | a_30: A ,0.4583333333333333,A->A,0.43243243243243246
a_0: B | a_30: A ,0.5416666666666666,A->B,0.5675675675675675
a_0: A | a_30: B ,0.379182156133829,B->A,0.4735202492211838
a_0: B | a_30: B ,0.6171003717472119,B->B,0.5264797507788161
a_0: A | a_20: A ,0.55,A->A,0.5735294117647058
a_0: B | a_20: A ,0.45,A->B,0.4264705882352941
a_0: A | a_20: B ,0.3772455089820359,B->A,0.5123456790123457
a_0: B | a_20: B ,0.6197604790419161,B->B,0.4876543209876543
a_0: A | a_10: A ,0.5416666666666666,A->A,0.6
a_0: B | a_10: A ,0.4583333333333333,A->B,0.4
a_0: A | a_10: B ,0.3707865168539326,B->A,0.5029940119760479
a_0: B | a_10: B ,0.6264044943820225,B->B,0.49700598802395207
a_0: A | a_5: A ,0.6074766355140186,A->A,0.6798418972332015
a_0: B | a_5: A ,0.3925233644859813,A->B,0.3201581027667984
a_0: A | a_5: B ,0.3261538461538461,B->A,0.41818181818181815
a_0: B | a_5: B ,0.6707692307692308,B->B,0.5818181818181818
a_0: A | a_1: A ,0.711864406779661,A->A,0.768
a_0: B | a_1: A ,0.288135593220339,A->B,0.232
a_0: A | a_1: B ,0.1821705426356589,B->A,0.17110266159695817
a_0: B | a_1: B ,0.813953488372093,B->B,0.8288973384030418
