labels,nobese,pattern,obese
a_20: A | a_30: A ,0.7674418604651163,A->A,0.8888888888888888
a_20: B | a_30: A ,0.23255813953488372,A->B,0.1111111111111111
a_20: A | a_30: B ,0.082039911308204,B->A,0.06474820143884892
a_20: B | a_30: B ,0.917960088691796,B->B,0.9280575539568345
a_10: A | a_30: A ,0.5581395348837209,A->A,0.5555555555555556
a_10: B | a_30: A ,0.4418604651162791,A->B,0.4444444444444444
a_10: A | a_30: B ,0.21507760532150777,B->A,0.20863309352517986
a_10: B | a_30: B ,0.7849223946784922,B->B,0.7841726618705036
a_10: A | a_20: A ,0.725,A->A,0.6428571428571429
a_10: B | a_20: A ,0.275,A->B,0.35714285714285715
a_10: A | a_20: B ,0.15047021943573669,B->A,0.16483516483516483
a_10: B | a_20: B ,0.8495297805642633,B->B,0.8351648351648352
a_5: A | a_30: A ,0.7441860465116279,A->A,0.5
a_5: B | a_30: A ,0.2558139534883721,A->B,0.5
a_5: A | a_30: B ,0.3436807095343681,B->A,0.33093525179856115
a_5: B | a_30: B ,0.656319290465632,B->B,0.6618705035971223
a_5: A | a_20: A ,0.7625,A->A,0.6428571428571429
a_5: B | a_20: A ,0.2375,A->B,0.35714285714285715
a_5: A | a_20: B ,0.30877742946708464,B->A,0.29120879120879123
a_5: B | a_20: B ,0.6912225705329154,B->B,0.7032967032967034
a_5: A | a_10: A ,0.7232704402515723,A->A,0.7708333333333334
a_5: B | a_10: A ,0.27672955974842767,A->B,0.20833333333333334
a_5: A | a_10: B ,0.24669603524229075,B->A,0.2159090909090909
a_5: B | a_10: B ,0.7533039647577092,B->B,0.7840909090909091
a_1: A | a_30: A ,0.6046511627906976,A->A,0.4444444444444444
a_1: B | a_30: A ,0.3953488372093023,A->B,0.5555555555555556
a_1: A | a_30: B ,0.49445676274944567,B->A,0.45323741007194246
a_1: B | a_30: B ,0.5055432372505543,B->B,0.5467625899280576
a_1: A | a_20: A ,0.7,A->A,0.6071428571428571
a_1: B | a_20: A ,0.3,A->B,0.39285714285714285
a_1: A | a_20: B ,0.5156739811912225,B->A,0.45604395604395603
a_1: B | a_20: B ,0.4843260188087774,B->B,0.5439560439560439
a_1: A | a_10: A ,0.6666666666666666,A->A,0.6666666666666666
a_1: B | a_10: A ,0.3333333333333333,A->B,0.3333333333333333
a_1: A | a_10: B ,0.49926578560939794,B->A,0.4147727272727273
a_1: B | a_10: B ,0.5007342143906021,B->B,0.5852272727272727
a_1: A | a_5: A ,0.7746478873239436,A->A,0.7236842105263158
a_1: B | a_5: A ,0.22535211267605634,A->B,0.27631578947368424
a_1: A | a_5: B ,0.4035714285714286,B->A,0.32666666666666666
a_1: B | a_5: B ,0.5964285714285714,B->B,0.6733333333333333
a_0: A | a_30: A ,0.5116279069767442,A->A,0.2777777777777778
a_0: B | a_30: A ,0.4883720930232558,A->B,0.7222222222222222
a_0: A | a_30: B ,0.42572062084257206,B->A,0.4460431654676259
a_0: B | a_30: B ,0.5742793791574279,B->B,0.5467625899280576
a_0: A | a_20: A ,0.6,A->A,0.4642857142857143
a_0: B | a_20: A ,0.4,A->B,0.5357142857142857
a_0: A | a_20: B ,0.45141065830721006,B->A,0.47802197802197804
a_0: B | a_20: B ,0.54858934169279,B->B,0.5164835164835165
a_0: A | a_10: A ,0.5534591194968553,A->A,0.6666666666666666
a_0: B | a_10: A ,0.44654088050314467,A->B,0.3333333333333333
a_0: A | a_10: B ,0.4522760646108664,B->A,0.4318181818181818
a_0: B | a_10: B ,0.5477239353891337,B->B,0.5625
a_0: A | a_5: A ,0.6584507042253521,A->A,0.6578947368421053
a_0: B | a_5: A ,0.3415492957746479,A->B,0.34210526315789475
a_0: A | a_5: B ,0.3732142857142857,B->A,0.38666666666666666
a_0: B | a_5: B ,0.6267857142857143,B->B,0.6066666666666667
a_0: A | a_1: A ,0.7449664429530202,A->A,0.7714285714285715
a_0: B | a_1: A ,0.2550335570469799,A->B,0.22857142857142856
a_0: A | a_1: B ,0.15829145728643215,B->A,0.23577235772357724
a_0: B | a_1: B ,0.8417085427135679,B->B,0.7560975609756098
