labels,probs,pattern
a_20: A | a_30: A ,0.696969696969697,A->A
a_20: B | a_30: A ,0.30303030303030304,A->B
a_20: A | a_30: B ,0.036458333333333336,B->A
a_20: B | a_30: B ,0.9635416666666666,B->B
a_10: A | a_30: A ,0.3434343434343434,A->A
a_10: B | a_30: A ,0.6565656565656566,A->B
a_10: A | a_30: B ,0.03993055555555555,B->A
a_10: B | a_30: B ,0.9600694444444444,B->B
a_10: A | a_20: A ,0.4782608695652174,A->A
a_10: B | a_20: A ,0.5217391304347826,A->B
a_10: A | a_20: B ,0.02702702702702703,B->A
a_10: B | a_20: B ,0.972972972972973,B->B
a_5: A | a_30: A ,0.18181818181818182,A->A
a_5: B | a_30: A ,0.8181818181818182,A->B
a_5: A | a_30: B ,0.034722222222222224,B->A
a_5: B | a_30: B ,0.9652777777777778,B->B
a_5: A | a_20: A ,0.21739130434782608,A->A
a_5: B | a_20: A ,0.782608695652174,A->B
a_5: A | a_20: B ,0.0343980343980344,B->A
a_5: B | a_20: B ,0.9656019656019657,B->B
a_5: A | a_10: A ,0.4857142857142857,A->A
a_5: B | a_10: A ,0.5142857142857142,A->B
a_5: A | a_10: B ,0.02596053997923157,B->A
a_5: B | a_10: B ,0.9730010384215991,B->B
a_1: A | a_30: A ,0.10101010101010101,A->A
a_1: B | a_30: A ,0.898989898989899,A->B
a_1: A | a_30: B ,0.036458333333333336,B->A
a_1: B | a_30: B ,0.9635416666666666,B->B
a_1: A | a_20: A ,0.10869565217391304,A->A
a_1: B | a_20: A ,0.8913043478260869,A->B
a_1: A | a_20: B ,0.042997542997543,B->A
a_1: B | a_20: B ,0.957002457002457,B->B
a_1: A | a_10: A ,0.1619047619047619,A->A
a_1: B | a_10: A ,0.8380952380952381,A->B
a_1: A | a_10: B ,0.04672897196261682,B->A
a_1: B | a_10: B ,0.9532710280373832,B->B
a_1: A | a_5: A ,0.31645569620253167,A->A
a_1: B | a_5: A ,0.6835443037974683,A->B
a_1: A | a_5: B ,0.03822937625754527,B->A
a_1: B | a_5: B ,0.9617706237424547,B->B
a_0: A | a_30: A ,0.06060606060606061,A->A
a_0: B | a_30: A ,0.9393939393939394,A->B
a_0: A | a_30: B ,0.03298611111111111,B->A
a_0: B | a_30: B ,0.9670138888888888,B->B
a_0: A | a_20: A ,0.10144927536231885,A->A
a_0: B | a_20: A ,0.8985507246376812,A->B
a_0: A | a_20: B ,0.04054054054054054,B->A
a_0: B | a_20: B ,0.9594594594594594,B->B
a_0: A | a_10: A ,0.17142857142857143,A->A
a_0: B | a_10: A ,0.8285714285714286,A->B
a_0: A | a_10: B ,0.04153686396677051,B->A
a_0: B | a_10: B ,0.9574247144340602,B->B
a_0: A | a_5: A ,0.27848101265822783,A->A
a_0: B | a_5: A ,0.7215189873417721,A->B
a_0: A | a_5: B ,0.03722334004024145,B->A
a_0: B | a_5: B ,0.9607645875251509,B->B
a_0: A | a_1: A ,0.5873015873015873,A->A
a_0: B | a_1: A ,0.4126984126984127,A->B
a_0: A | a_1: B ,0.021760633036597428,B->A
a_0: B | a_1: B ,0.9762611275964391,B->B
