labels,M,pattern,F
a_20: A | a_30: A ,0.7222222222222222,A->A,0.6825396825396826
a_20: B | a_30: A ,0.2777777777777778,A->B,0.31746031746031744
a_20: A | a_30: B ,0.05789473684210526,B->A,0.025906735751295335
a_20: B | a_30: B ,0.9421052631578948,B->B,0.9740932642487047
a_10: A | a_30: A ,0.3333333333333333,A->A,0.3492063492063492
a_10: B | a_30: A ,0.6666666666666666,A->B,0.6507936507936508
a_10: A | a_30: B ,0.05263157894736842,B->A,0.03367875647668394
a_10: B | a_30: B ,0.9473684210526315,B->B,0.966321243523316
a_10: A | a_20: A ,0.45614035087719296,A->A,0.49382716049382713
a_10: B | a_20: A ,0.543859649122807,A->B,0.5061728395061729
a_10: A | a_20: B ,0.03308823529411765,B->A,0.023985239852398525
a_10: B | a_20: B ,0.9669117647058824,B->B,0.9760147601476015
a_5: A | a_30: A ,0.1388888888888889,A->A,0.20634920634920634
a_5: B | a_30: A ,0.8611111111111112,A->B,0.7936507936507936
a_5: A | a_30: B ,0.042105263157894736,B->A,0.031088082901554404
a_5: B | a_30: B ,0.9578947368421052,B->B,0.9689119170984456
a_5: A | a_20: A ,0.21052631578947367,A->A,0.2222222222222222
a_5: B | a_20: A ,0.7894736842105263,A->B,0.7777777777777778
a_5: A | a_20: B ,0.03676470588235294,B->A,0.033210332103321034
a_5: B | a_20: B ,0.9632352941176471,B->B,0.966789667896679
a_5: A | a_10: A ,0.5348837209302325,A->A,0.45161290322580644
a_5: B | a_10: A ,0.46511627906976744,A->B,0.5483870967741935
a_5: A | a_10: B ,0.02654867256637168,B->A,0.02564102564102564
a_5: B | a_10: B ,0.9705014749262537,B->B,0.9743589743589743
a_1: A | a_30: A ,0.05555555555555555,A->A,0.12698412698412698
a_1: B | a_30: A ,0.9444444444444444,A->B,0.873015873015873
a_1: A | a_30: B ,0.03684210526315789,B->A,0.03626943005181347
a_1: B | a_30: B ,0.9631578947368421,B->B,0.9637305699481865
a_1: A | a_20: A ,0.10526315789473684,A->A,0.1111111111111111
a_1: B | a_20: A ,0.8947368421052632,A->B,0.8888888888888888
a_1: A | a_20: B ,0.04779411764705882,B->A,0.04059040590405904
a_1: B | a_20: B ,0.9522058823529411,B->B,0.959409594095941
a_1: A | a_10: A ,0.23255813953488372,A->A,0.11290322580645161
a_1: B | a_10: A ,0.7674418604651163,A->B,0.8870967741935484
a_1: A | a_10: B ,0.04129793510324484,B->A,0.049679487179487176
a_1: B | a_10: B ,0.9587020648967551,B->B,0.9503205128205128
a_1: A | a_5: A ,0.4117647058823529,A->A,0.24444444444444444
a_1: B | a_5: A ,0.5882352941176471,A->B,0.7555555555555555
a_1: A | a_5: B ,0.03142857142857143,B->A,0.04192546583850932
a_1: B | a_5: B ,0.9685714285714285,B->B,0.9580745341614907
a_0: A | a_30: A ,0.05555555555555555,A->A,0.06349206349206349
a_0: B | a_30: A ,0.9444444444444444,A->B,0.9365079365079365
a_0: A | a_30: B ,0.03684210526315789,B->A,0.031088082901554404
a_0: B | a_30: B ,0.9631578947368421,B->B,0.9689119170984456
a_0: A | a_20: A ,0.10526315789473684,A->A,0.09876543209876543
a_0: B | a_20: A ,0.8947368421052632,A->B,0.9012345679012346
a_0: A | a_20: B ,0.0625,B->A,0.02952029520295203
a_0: B | a_20: B ,0.9375,B->B,0.9704797047970479
a_0: A | a_10: A ,0.23255813953488372,A->A,0.12903225806451613
a_0: B | a_10: A ,0.7674418604651163,A->B,0.8709677419354839
a_0: A | a_10: B ,0.058997050147492625,B->A,0.03205128205128205
a_0: B | a_10: B ,0.9410029498525073,B->B,0.9663461538461539
a_0: A | a_5: A ,0.4117647058823529,A->A,0.17777777777777778
a_0: B | a_5: A ,0.5882352941176471,A->B,0.8222222222222222
a_0: A | a_5: B ,0.04857142857142857,B->A,0.031055900621118012
a_0: B | a_5: B ,0.9485714285714286,B->B,0.967391304347826
a_0: A | a_1: A ,0.72,A->A,0.5
a_0: B | a_1: A ,0.28,A->B,0.5
a_0: A | a_1: B ,0.03611111111111111,B->A,0.013824884792626729
a_0: B | a_1: B ,0.9611111111111111,B->B,0.9846390168970814
