labels,nacademic,pattern,academic
a_20: A | a_30: A ,0.7142857142857143,A->A,0.6744186046511628
a_20: B | a_30: A ,0.2857142857142857,A->B,0.32558139534883723
a_20: A | a_30: B ,0.04065040650406504,B->A,0.028985507246376812
a_20: B | a_30: B ,0.959349593495935,B->B,0.9710144927536232
a_10: A | a_30: A ,0.3392857142857143,A->A,0.3488372093023256
a_10: B | a_30: A ,0.6607142857142857,A->B,0.6511627906976745
a_10: A | a_30: B ,0.04065040650406504,B->A,0.03864734299516908
a_10: B | a_30: B ,0.959349593495935,B->B,0.961352657004831
a_10: A | a_20: A ,0.46808510638297873,A->A,0.5
a_10: B | a_20: A ,0.5319148936170213,A->B,0.5
a_10: A | a_20: B ,0.02882882882882883,B->A,0.023166023166023165
a_10: B | a_20: B ,0.9711711711711711,B->B,0.9768339768339769
a_5: A | a_30: A ,0.17857142857142858,A->A,0.18604651162790697
a_5: B | a_30: A ,0.8214285714285714,A->B,0.813953488372093
a_5: A | a_30: B ,0.037940379403794036,B->A,0.028985507246376812
a_5: B | a_30: B ,0.962059620596206,B->B,0.9710144927536232
a_5: A | a_20: A ,0.22340425531914893,A->A,0.20454545454545456
a_5: B | a_20: A ,0.776595744680851,A->B,0.7954545454545454
a_5: A | a_20: B ,0.04144144144144144,B->A,0.019305019305019305
a_5: B | a_20: B ,0.9585585585585585,B->B,0.9806949806949807
a_5: A | a_10: A ,0.4931506849315068,A->A,0.46875
a_5: B | a_10: A ,0.5068493150684932,A->B,0.53125
a_5: A | a_10: B ,0.032640949554896145,B->A,0.010380622837370242
a_5: B | a_10: B ,0.9658753709198813,B->B,0.9896193771626297
a_1: A | a_30: A ,0.14285714285714285,A->A,0.046511627906976744
a_1: B | a_30: A ,0.8571428571428571,A->B,0.9534883720930233
a_1: A | a_30: B ,0.04065040650406504,B->A,0.028985507246376812
a_1: B | a_30: B ,0.959349593495935,B->B,0.9710144927536232
a_1: A | a_20: A ,0.13829787234042554,A->A,0.045454545454545456
a_1: B | a_20: A ,0.8617021276595744,A->B,0.9545454545454546
a_1: A | a_20: B ,0.05045045045045045,B->A,0.02702702702702703
a_1: B | a_20: B ,0.9495495495495495,B->B,0.972972972972973
a_1: A | a_10: A ,0.1780821917808219,A->A,0.125
a_1: B | a_10: A ,0.821917808219178,A->B,0.875
a_1: A | a_10: B ,0.05637982195845697,B->A,0.02422145328719723
a_1: B | a_10: B ,0.9436201780415431,B->B,0.9757785467128027
a_1: A | a_5: A ,0.31666666666666665,A->A,0.3157894736842105
a_1: B | a_5: A ,0.6833333333333333,A->B,0.6842105263157895
a_1: A | a_5: B ,0.04775687409551375,B->A,0.0165016501650165
a_1: B | a_5: B ,0.9522431259044862,B->B,0.9834983498349835
a_0: A | a_30: A ,0.08928571428571429,A->A,0.023255813953488372
a_0: B | a_30: A ,0.9107142857142857,A->B,0.9767441860465116
a_0: A | a_30: B ,0.032520325203252036,B->A,0.033816425120772944
a_0: B | a_30: B ,0.967479674796748,B->B,0.966183574879227
a_0: A | a_20: A ,0.13829787234042554,A->A,0.022727272727272728
a_0: B | a_20: A ,0.8617021276595744,A->B,0.9772727272727273
a_0: A | a_20: B ,0.04504504504504504,B->A,0.03088803088803089
a_0: B | a_20: B ,0.954954954954955,B->B,0.9691119691119691
a_0: A | a_10: A ,0.2191780821917808,A->A,0.0625
a_0: B | a_10: A ,0.7808219178082192,A->B,0.9375
a_0: A | a_10: B ,0.04599406528189911,B->A,0.031141868512110725
a_0: B | a_10: B ,0.9525222551928784,B->B,0.9688581314878892
a_0: A | a_5: A ,0.3,A->A,0.21052631578947367
a_0: B | a_5: A ,0.7,A->B,0.7894736842105263
a_0: A | a_5: B ,0.04341534008683068,B->A,0.0231023102310231
a_0: B | a_5: B ,0.9536903039073806,B->B,0.976897689768977
a_0: A | a_1: A ,0.6153846153846154,A->A,0.45454545454545453
a_0: B | a_1: A ,0.38461538461538464,A->B,0.5454545454545454
a_0: A | a_1: B ,0.022857142857142857,B->A,0.01929260450160772
a_0: B | a_1: B ,0.9742857142857143,B->B,0.9807073954983923
