labels,nhdegree,pattern,hdegree
a_20: A | a_30: A ,0.7142857142857143,A->A,0.6842105263157895
a_20: B | a_30: A ,0.2857142857142857,A->B,0.3157894736842105
a_20: A | a_30: B ,0.022727272727272728,B->A,0.04807692307692308
a_20: B | a_30: B ,0.9772727272727273,B->B,0.9519230769230769
a_10: A | a_30: A ,0.35714285714285715,A->A,0.3333333333333333
a_10: B | a_30: A ,0.6428571428571429,A->B,0.6666666666666666
a_10: A | a_30: B ,0.030303030303030304,B->A,0.04807692307692308
a_10: B | a_30: B ,0.9696969696969697,B->B,0.9519230769230769
a_10: A | a_20: A ,0.44680851063829785,A->A,0.4945054945054945
a_10: B | a_20: A ,0.5531914893617021,A->B,0.5054945054945055
a_10: A | a_20: B ,0.020833333333333332,B->A,0.03138075313807531
a_10: B | a_20: B ,0.9791666666666666,B->B,0.9686192468619247
a_5: A | a_30: A ,0.19047619047619047,A->A,0.17543859649122806
a_5: B | a_30: A ,0.8095238095238095,A->B,0.8245614035087719
a_5: A | a_30: B ,0.026515151515151516,B->A,0.041666666666666664
a_5: B | a_30: B ,0.9734848484848485,B->B,0.9583333333333334
a_5: A | a_20: A ,0.2127659574468085,A->A,0.21978021978021978
a_5: B | a_20: A ,0.7872340425531915,A->B,0.7802197802197802
a_5: A | a_20: B ,0.02976190476190476,B->A,0.03765690376569038
a_5: B | a_20: B ,0.9702380952380952,B->B,0.9623430962343096
a_5: A | a_10: A ,0.5161290322580645,A->A,0.47297297297297297
a_5: B | a_10: A ,0.4838709677419355,A->B,0.527027027027027
a_5: A | a_10: B ,0.029850746268656716,B->A,0.023172905525846704
a_5: B | a_10: B ,0.9676616915422885,B->B,0.9768270944741533
a_1: A | a_30: A ,0.14285714285714285,A->A,0.07017543859649122
a_1: B | a_30: A ,0.8571428571428571,A->B,0.9298245614035088
a_1: A | a_30: B ,0.030303030303030304,B->A,0.041666666666666664
a_1: B | a_30: B ,0.9696969696969697,B->B,0.9583333333333334
a_1: A | a_20: A ,0.14893617021276595,A->A,0.08791208791208792
a_1: B | a_20: A ,0.851063829787234,A->B,0.9120879120879121
a_1: A | a_20: B ,0.02976190476190476,B->A,0.05230125523012552
a_1: B | a_20: B ,0.9702380952380952,B->B,0.9476987447698745
a_1: A | a_10: A ,0.16129032258064516,A->A,0.16216216216216217
a_1: B | a_10: A ,0.8387096774193549,A->B,0.8378378378378378
a_1: A | a_10: B ,0.04228855721393035,B->A,0.049910873440285206
a_1: B | a_10: B ,0.9577114427860697,B->B,0.9500891265597148
a_1: A | a_5: A ,0.3103448275862069,A->A,0.32
a_1: B | a_5: A ,0.6896551724137931,A->B,0.68
a_1: A | a_5: B ,0.034482758620689655,B->A,0.04081632653061224
a_1: B | a_5: B ,0.9655172413793104,B->B,0.9591836734693877
a_0: A | a_30: A ,0.07142857142857142,A->A,0.05263157894736842
a_0: B | a_30: A ,0.9285714285714286,A->B,0.9473684210526315
a_0: A | a_30: B ,0.022727272727272728,B->A,0.041666666666666664
a_0: B | a_30: B ,0.9772727272727273,B->B,0.9583333333333334
a_0: A | a_20: A ,0.10638297872340426,A->A,0.0989010989010989
a_0: B | a_20: A ,0.8936170212765957,A->B,0.9010989010989011
a_0: A | a_20: B ,0.023809523809523808,B->A,0.05230125523012552
a_0: B | a_20: B ,0.9761904761904762,B->B,0.9476987447698745
a_0: A | a_10: A ,0.16129032258064516,A->A,0.17567567567567569
a_0: B | a_10: A ,0.8387096774193549,A->B,0.8243243243243243
a_0: A | a_10: B ,0.03233830845771144,B->A,0.0481283422459893
a_0: B | a_10: B ,0.9651741293532339,B->B,0.9518716577540107
a_0: A | a_5: A ,0.27586206896551724,A->A,0.28
a_0: B | a_5: A ,0.7241379310344828,A->B,0.72
a_0: A | a_5: B ,0.027093596059113302,B->A,0.04421768707482993
a_0: B | a_5: B ,0.9679802955665024,B->B,0.95578231292517
a_0: A | a_1: A ,0.5217391304347826,A->A,0.625
a_0: B | a_1: A ,0.4782608695652174,A->B,0.375
a_0: A | a_1: B ,0.01694915254237288,B->A,0.02508361204013378
a_0: B | a_1: B ,0.9782082324455206,B->B,0.9749163879598662
