labels,nobese,pattern,obese
a_20: A | a_30: A ,0.7195121951219512,A->A,0.5882352941176471
a_20: B | a_30: A ,0.2804878048780488,A->B,0.4117647058823529
a_20: A | a_30: B ,0.04205607476635514,B->A,0.02027027027027027
a_20: B | a_30: B ,0.9579439252336449,B->B,0.9797297297297297
a_10: A | a_30: A ,0.36585365853658536,A->A,0.23529411764705882
a_10: B | a_30: A ,0.6341463414634146,A->B,0.7647058823529411
a_10: A | a_30: B ,0.04906542056074766,B->A,0.013513513513513514
a_10: B | a_30: B ,0.9509345794392523,B->B,0.9864864864864865
a_10: A | a_20: A ,0.5042735042735043,A->A,0.3333333333333333
a_10: B | a_20: A ,0.49572649572649574,A->B,0.6666666666666666
a_10: A | a_20: B ,0.03225806451612903,B->A,0.010309278350515464
a_10: B | a_20: B ,0.967741935483871,B->B,0.9896907216494846
a_5: A | a_30: A ,0.21951219512195122,A->A,0.0
a_5: B | a_30: A ,0.7804878048780488,A->B,1.0
a_5: A | a_30: B ,0.0397196261682243,B->A,0.02027027027027027
a_5: B | a_30: B ,0.9602803738317757,B->B,0.9797297297297297
a_5: A | a_20: A ,0.2564102564102564,A->A,0.0
a_5: B | a_20: A ,0.7435897435897436,A->B,1.0
a_5: A | a_20: B ,0.04032258064516129,B->A,0.015463917525773196
a_5: B | a_20: B ,0.9596774193548387,B->B,0.9845360824742269
a_5: A | a_10: A ,0.5208333333333334,A->A,0.1111111111111111
a_5: B | a_10: A ,0.4791666666666667,A->B,0.8888888888888888
a_5: A | a_10: B ,0.03087248322147651,B->A,0.009174311926605505
a_5: B | a_10: B ,0.9691275167785235,B->B,0.9862385321100917
a_1: A | a_30: A ,0.12195121951219512,A->A,0.0
a_1: B | a_30: A ,0.8780487804878049,A->B,1.0
a_1: A | a_30: B ,0.04205607476635514,B->A,0.02027027027027027
a_1: B | a_30: B ,0.9579439252336449,B->B,0.9797297297297297
a_1: A | a_20: A ,0.1282051282051282,A->A,0.0
a_1: B | a_20: A ,0.8717948717948718,A->B,1.0
a_1: A | a_20: B ,0.05161290322580645,B->A,0.015463917525773196
a_1: B | a_20: B ,0.9483870967741935,B->B,0.9845360824742269
a_1: A | a_10: A ,0.16666666666666666,A->A,0.1111111111111111
a_1: B | a_10: A ,0.8333333333333334,A->B,0.8888888888888888
a_1: A | a_10: B ,0.05771812080536913,B->A,0.009174311926605505
a_1: B | a_10: B ,0.9422818791946309,B->B,0.9908256880733946
a_1: A | a_5: A ,0.3157894736842105,A->A,0.3333333333333333
a_1: B | a_5: A ,0.6842105263157895,A->B,0.6666666666666666
a_1: A | a_5: B ,0.046753246753246755,B->A,0.008928571428571428
a_1: B | a_5: B ,0.9532467532467532,B->B,0.9910714285714286
a_0: A | a_30: A ,0.07317073170731707,A->A,0.0
a_0: B | a_30: A ,0.926829268292683,A->B,1.0
a_0: A | a_30: B ,0.04439252336448598,B->A,0.0
a_0: B | a_30: B ,0.955607476635514,B->B,1.0
a_0: A | a_20: A ,0.11965811965811966,A->A,0.0
a_0: B | a_20: A ,0.8803418803418803,A->B,1.0
a_0: A | a_20: B ,0.0532258064516129,B->A,0.0
a_0: B | a_20: B ,0.9467741935483871,B->B,1.0
a_0: A | a_10: A ,0.1875,A->A,0.0
a_0: B | a_10: A ,0.8125,A->B,1.0
a_0: A | a_10: B ,0.053691275167785234,B->A,0.0
a_0: B | a_10: B ,0.9449664429530201,B->B,1.0
a_0: A | a_5: A ,0.2894736842105263,A->A,0.0
a_0: B | a_5: A ,0.7105263157894737,A->B,1.0
a_0: A | a_5: B ,0.048051948051948054,B->A,0.0
a_0: B | a_5: B ,0.9493506493506494,B->B,1.0
a_0: A | a_1: A ,0.6166666666666667,A->A,0.0
a_0: B | a_1: A ,0.38333333333333336,A->B,1.0
a_0: A | a_1: B ,0.027989821882951654,B->A,0.0
a_0: B | a_1: B ,0.9694656488549618,B->B,1.0
