labels,probs,pattern
a_20: A | a_30: A ,0.9530516431924883,A->A
a_20: B | a_30: A ,0.046948356807511735,A->B
a_20: A | a_30: B ,0.3888888888888889,B->A
a_20: B | a_30: B ,0.6111111111111112,B->B
a_10: A | a_30: A ,0.8607198748043818,A->A
a_10: B | a_30: A ,0.13928012519561817,A->B
a_10: A | a_30: B ,0.4444444444444444,B->A
a_10: B | a_30: B ,0.5555555555555556,B->B
a_10: A | a_20: A ,0.8737083811710677,A->A
a_10: B | a_20: A ,0.12629161882893225,A->B
a_10: A | a_20: B ,0.42857142857142855,B->A
a_10: B | a_20: B ,0.5714285714285714,B->B
a_5: A | a_30: A ,0.7574334898278561,A->A
a_5: B | a_30: A ,0.24256651017214398,A->B
a_5: A | a_30: B ,0.3611111111111111,B->A
a_5: B | a_30: B ,0.6388888888888888,B->B
a_5: A | a_20: A ,0.7692307692307693,A->A
a_5: B | a_20: A ,0.23076923076923078,A->B
a_5: A | a_20: B ,0.4805194805194805,B->A
a_5: B | a_20: B ,0.5194805194805194,B->B
a_5: A | a_10: A ,0.8516057585825028,A->A
a_5: B | a_10: A ,0.14839424141749724,A->B
a_5: A | a_10: B ,0.24550898203592814,B->A
a_5: B | a_10: B ,0.7544910179640718,B->B
a_1: A | a_30: A ,0.6118935837245696,A->A
a_1: B | a_30: A ,0.38810641627543035,A->B
a_1: A | a_30: B ,0.4166666666666667,B->A
a_1: B | a_30: B ,0.5833333333333334,B->B
a_1: A | a_20: A ,0.5947187141216992,A->A
a_1: B | a_20: A ,0.4052812858783008,A->B
a_1: A | a_20: B ,0.5454545454545454,B->A
a_1: B | a_20: B ,0.45454545454545453,B->B
a_1: A | a_10: A ,0.6434108527131783,A->A
a_1: B | a_10: A ,0.35658914728682173,A->B
a_1: A | a_10: B ,0.3712574850299401,B->A
a_1: B | a_10: B ,0.6287425149700598,B->B
a_1: A | a_5: A ,0.7060270602706027,A->A
a_1: B | a_5: A ,0.2939729397293973,A->B
a_1: A | a_5: B ,0.27692307692307694,B->A
a_1: B | a_5: B ,0.7230769230769231,B->B
a_0: A | a_30: A ,0.593114241001565,A->A
a_0: B | a_30: A ,0.405320813771518,A->B
a_0: A | a_30: B ,0.4166666666666667,B->A
a_0: B | a_30: B ,0.5833333333333334,B->B
a_0: A | a_20: A ,0.5797933409873708,A->A
a_0: B | a_20: A ,0.417910447761194,A->B
a_0: A | a_20: B ,0.5324675324675324,B->A
a_0: B | a_20: B ,0.4675324675324675,B->B
a_0: A | a_10: A ,0.6201550387596899,A->A
a_0: B | a_10: A ,0.37763012181616834,A->B
a_0: A | a_10: B ,0.40119760479041916,B->A
a_0: B | a_10: B ,0.5988023952095808,B->B
a_0: A | a_5: A ,0.6592865928659286,A->A
a_0: B | a_5: A ,0.33825338253382536,A->B
a_0: A | a_5: B ,0.36153846153846153,B->A
a_0: B | a_5: B ,0.6384615384615384,B->B
a_0: A | a_1: A ,0.839258114374034,A->A
a_0: B | a_1: A ,0.15919629057187018,A->B
a_0: A | a_1: B ,0.20608899297423888,B->A
a_0: B | a_1: B ,0.7915690866510539,B->B
