labels,M,pattern,F
a_20: A | a_30: A ,0.9534883720930233,A->A,0.9528301886792453
a_20: B | a_30: A ,0.046511627906976744,A->B,0.04716981132075472
a_20: A | a_30: B ,0.3,B->A,0.4230769230769231
a_20: B | a_30: B ,0.7,B->B,0.5769230769230769
a_10: A | a_30: A ,0.8790697674418605,A->A,0.8514150943396226
a_10: B | a_30: A ,0.12093023255813953,A->B,0.14858490566037735
a_10: A | a_30: B ,0.6,B->A,0.38461538461538464
a_10: B | a_30: B ,0.4,B->B,0.6153846153846154
a_10: A | a_20: A ,0.8782894736842105,A->A,0.8712522045855379
a_10: B | a_20: A ,0.12171052631578948,A->B,0.12874779541446207
a_10: A | a_20: B ,0.68,B->A,0.3076923076923077
a_10: B | a_20: B ,0.32,B->B,0.6923076923076923
a_5: A | a_30: A ,0.827906976744186,A->A,0.7216981132075472
a_5: B | a_30: A ,0.17209302325581396,A->B,0.2783018867924528
a_5: A | a_30: B ,0.5,B->A,0.3076923076923077
a_5: B | a_30: B ,0.5,B->B,0.6923076923076923
a_5: A | a_20: A ,0.8289473684210527,A->A,0.7372134038800705
a_5: B | a_20: A ,0.17105263157894737,A->B,0.26278659611992944
a_5: A | a_20: B ,0.6,B->A,0.4230769230769231
a_5: B | a_20: B ,0.4,B->B,0.5769230769230769
a_5: A | a_10: A ,0.9011976047904192,A->A,0.8224956063268892
a_5: B | a_10: A ,0.09880239520958084,A->B,0.17750439367311072
a_5: A | a_10: B ,0.28,B->A,0.23076923076923078
a_5: B | a_10: B ,0.72,B->B,0.7692307692307693
a_1: A | a_30: A ,0.7209302325581395,A->A,0.5566037735849056
a_1: B | a_30: A ,0.27906976744186046,A->B,0.44339622641509435
a_1: A | a_30: B ,0.8,B->A,0.2692307692307692
a_1: B | a_30: B ,0.2,B->B,0.7307692307692307
a_1: A | a_20: A ,0.680921052631579,A->A,0.5485008818342152
a_1: B | a_20: A ,0.3190789473684211,A->B,0.4514991181657848
a_1: A | a_20: B ,0.72,B->A,0.46153846153846156
a_1: B | a_20: B ,0.28,B->B,0.5384615384615384
a_1: A | a_10: A ,0.7365269461077845,A->A,0.5887521968365553
a_1: B | a_10: A ,0.2634730538922156,A->B,0.4112478031634446
a_1: A | a_10: B ,0.46,B->A,0.3333333333333333
a_1: B | a_10: B ,0.54,B->B,0.6666666666666666
a_1: A | a_5: A ,0.7784810126582279,A->A,0.6599597585513078
a_1: B | a_5: A ,0.22151898734177214,A->B,0.34004024144869216
a_1: A | a_5: B ,0.34782608695652173,B->A,0.2513089005235602
a_1: B | a_5: B ,0.6521739130434783,B->B,0.7486910994764397
a_0: A | a_30: A ,0.6651162790697674,A->A,0.5566037735849056
a_0: B | a_30: A ,0.3302325581395349,A->B,0.44339622641509435
a_0: A | a_30: B ,0.8,B->A,0.2692307692307692
a_0: B | a_30: B ,0.2,B->B,0.7307692307692307
a_0: A | a_20: A ,0.6414473684210527,A->A,0.54673721340388
a_0: B | a_20: A ,0.35526315789473684,A->B,0.4514991181657848
a_0: A | a_20: B ,0.76,B->A,0.4230769230769231
a_0: B | a_20: B ,0.24,B->B,0.5769230769230769
a_0: A | a_10: A ,0.6856287425149701,A->A,0.5817223198594025
a_0: B | a_10: A ,0.31137724550898205,A->B,0.4165202108963093
a_0: A | a_10: B ,0.5,B->A,0.358974358974359
a_0: B | a_10: B ,0.5,B->B,0.6410256410256411
a_0: A | a_5: A ,0.7025316455696202,A->A,0.6317907444668008
a_0: B | a_5: A ,0.29430379746835444,A->B,0.36619718309859156
a_0: A | a_5: B ,0.4782608695652174,B->A,0.3193717277486911
a_0: B | a_5: B ,0.5217391304347826,B->B,0.680628272251309
a_0: A | a_1: A ,0.8555555555555555,A->A,0.8275862068965517
a_0: B | a_1: A ,0.14074074074074075,A->B,0.1724137931034483
a_0: A | a_1: B ,0.20869565217391303,B->A,0.20512820512820512
a_0: B | a_1: B ,0.7913043478260869,B->B,0.7916666666666666
