labels,nacademic,pattern,academic
a_20: A | a_30: A ,0.9569620253164557,A->A,0.9467213114754098
a_20: B | a_30: A ,0.043037974683544304,A->B,0.05327868852459016
a_20: A | a_30: B ,0.35714285714285715,B->A,0.5
a_20: B | a_30: B ,0.6428571428571429,B->B,0.5
a_10: A | a_30: A ,0.8481012658227848,A->A,0.8811475409836066
a_10: B | a_30: A ,0.1518987341772152,A->B,0.11885245901639344
a_10: A | a_30: B ,0.4642857142857143,B->A,0.375
a_10: B | a_30: B ,0.5357142857142857,B->B,0.625
a_10: A | a_20: A ,0.863406408094435,A->A,0.89568345323741
a_10: B | a_20: A ,0.13659359190556492,A->B,0.10431654676258993
a_10: A | a_20: B ,0.36363636363636365,B->A,0.5909090909090909
a_10: B | a_20: B ,0.6363636363636364,B->B,0.4090909090909091
a_5: A | a_30: A ,0.739240506329114,A->A,0.7868852459016393
a_5: B | a_30: A ,0.2607594936708861,A->B,0.21311475409836064
a_5: A | a_30: B ,0.32142857142857145,B->A,0.5
a_5: B | a_30: B ,0.6785714285714286,B->B,0.5
a_5: A | a_20: A ,0.7639123102866779,A->A,0.7805755395683454
a_5: B | a_20: A ,0.23608768971332209,A->B,0.21942446043165467
a_5: A | a_20: B ,0.38181818181818183,B->A,0.7272727272727273
a_5: B | a_20: B ,0.6181818181818182,B->B,0.2727272727272727
a_5: A | a_10: A ,0.855072463768116,A->A,0.8439716312056738
a_5: B | a_10: A ,0.14492753623188406,A->B,0.15602836879432624
a_5: A | a_10: B ,0.21875,B->A,0.3333333333333333
a_5: B | a_10: B ,0.78125,B->B,0.6666666666666666
a_1: A | a_30: A ,0.5468354430379747,A->A,0.7172131147540983
a_1: B | a_30: A ,0.4531645569620253,A->B,0.2827868852459016
a_1: A | a_30: B ,0.35714285714285715,B->A,0.625
a_1: B | a_30: B ,0.6428571428571429,B->B,0.375
a_1: A | a_20: A ,0.5463743676222597,A->A,0.697841726618705
a_1: B | a_20: A ,0.4536256323777403,A->B,0.302158273381295
a_1: A | a_20: B ,0.43636363636363634,B->A,0.8181818181818182
a_1: B | a_20: B ,0.5636363636363636,B->B,0.18181818181818182
a_1: A | a_10: A ,0.6022544283413849,A->A,0.7340425531914894
a_1: B | a_10: A ,0.3977455716586151,A->B,0.26595744680851063
a_1: A | a_10: B ,0.328125,B->A,0.5128205128205128
a_1: B | a_10: B ,0.671875,B->B,0.48717948717948717
a_1: A | a_5: A ,0.6648841354723708,A->A,0.7976190476190477
a_1: B | a_5: A ,0.33511586452762926,A->B,0.20238095238095238
a_1: A | a_5: B ,0.23684210526315788,B->A,0.38571428571428573
a_1: B | a_5: B ,0.7631578947368421,B->B,0.6142857142857143
a_0: A | a_30: A ,0.5037974683544304,A->A,0.7377049180327869
a_0: B | a_30: A ,0.4936708860759494,A->B,0.26229508196721313
a_0: A | a_30: B ,0.39285714285714285,B->A,0.5
a_0: B | a_30: B ,0.6071428571428571,B->B,0.5
a_0: A | a_20: A ,0.521079258010118,A->A,0.7050359712230215
a_0: B | a_20: A ,0.47554806070826305,A->B,0.2949640287769784
a_0: A | a_20: B ,0.45454545454545453,B->A,0.7272727272727273
a_0: B | a_20: B ,0.5454545454545454,B->B,0.2727272727272727
a_0: A | a_10: A ,0.5700483091787439,A->A,0.7304964539007093
a_0: B | a_10: A ,0.42673107890499196,A->B,0.2695035460992908
a_0: A | a_10: B ,0.375,B->A,0.48717948717948717
a_0: B | a_10: B ,0.625,B->B,0.5128205128205128
a_0: A | a_5: A ,0.6096256684491979,A->A,0.7698412698412699
a_0: B | a_5: A ,0.3868092691622103,A->B,0.23015873015873015
a_0: A | a_5: B ,0.3263157894736842,B->A,0.45714285714285713
a_0: B | a_5: B ,0.6736842105263158,B->B,0.5428571428571428
a_0: A | a_1: A ,0.8042959427207638,A->A,0.9035087719298246
a_0: B | a_1: A ,0.19331742243436753,A->B,0.09649122807017543
a_0: A | a_1: B ,0.2042042042042042,B->A,0.2127659574468085
a_0: B | a_1: B ,0.7927927927927928,B->B,0.7872340425531915
