labels,nhdegree,pattern,hdegree
a_20: A | a_30: A ,0.9618055555555556,A->A,0.9458689458689459
a_20: B | a_30: A ,0.03819444444444445,A->B,0.05413105413105413
a_20: A | a_30: B ,0.23529411764705882,B->A,0.5263157894736842
a_20: B | a_30: B ,0.7647058823529411,B->B,0.47368421052631576
a_10: A | a_30: A ,0.8541666666666666,A->A,0.8660968660968661
a_10: B | a_30: A ,0.14583333333333334,A->B,0.1339031339031339
a_10: A | a_30: B ,0.23529411764705882,B->A,0.631578947368421
a_10: B | a_30: B ,0.7647058823529411,B->B,0.3684210526315789
a_10: A | a_20: A ,0.8631284916201117,A->A,0.8810916179337231
a_10: B | a_20: A ,0.13687150837988826,A->B,0.1189083820662768
a_10: A | a_20: B ,0.3448275862068966,B->A,0.4791666666666667
a_10: B | a_20: B ,0.6551724137931034,B->B,0.5208333333333334
a_5: A | a_30: A ,0.7152777777777778,A->A,0.792022792022792
a_5: B | a_30: A ,0.2847222222222222,A->B,0.20797720797720798
a_5: A | a_30: B ,0.17647058823529413,B->A,0.5263157894736842
a_5: B | a_30: B ,0.8235294117647058,B->B,0.47368421052631576
a_5: A | a_20: A ,0.7346368715083799,A->A,0.7933723196881092
a_5: B | a_20: A ,0.26536312849162014,A->B,0.20662768031189083
a_5: A | a_20: B ,0.27586206896551724,B->A,0.6041666666666666
a_5: B | a_20: B ,0.7241379310344828,B->B,0.3958333333333333
a_5: A | a_10: A ,0.8314917127071824,A->A,0.8650646950092421
a_5: B | a_10: A ,0.1685082872928177,A->B,0.13493530499075784
a_5: A | a_10: B ,0.136986301369863,B->A,0.32978723404255317
a_5: B | a_10: B ,0.863013698630137,B->B,0.6702127659574468
a_1: A | a_30: A ,0.5069444444444444,A->A,0.698005698005698
a_1: B | a_30: A ,0.4930555555555556,A->B,0.301994301994302
a_1: A | a_30: B ,0.23529411764705882,B->A,0.5789473684210527
a_1: B | a_30: B ,0.7647058823529411,B->B,0.42105263157894735
a_1: A | a_20: A ,0.4664804469273743,A->A,0.6842105263157895
a_1: B | a_20: A ,0.5335195530726257,A->B,0.3157894736842105
a_1: A | a_20: B ,0.3448275862068966,B->A,0.6666666666666666
a_1: B | a_20: B ,0.6551724137931034,B->B,0.3333333333333333
a_1: A | a_10: A ,0.5165745856353591,A->A,0.7282809611829945
a_1: B | a_10: A ,0.48342541436464087,A->B,0.27171903881700554
a_1: A | a_10: B ,0.273972602739726,B->A,0.44680851063829785
a_1: B | a_10: B ,0.726027397260274,B->B,0.5531914893617021
a_1: A | a_5: A ,0.5993589743589743,A->A,0.7724550898203593
a_1: B | a_5: A ,0.40064102564102566,A->B,0.2275449101796407
a_1: A | a_5: B ,0.1693548387096774,B->A,0.375
a_1: B | a_5: B ,0.8306451612903226,B->B,0.625
a_0: A | a_30: A ,0.4166666666666667,A->A,0.7378917378917379
a_0: B | a_30: A ,0.5798611111111112,A->B,0.2621082621082621
a_0: A | a_30: B ,0.29411764705882354,B->A,0.5263157894736842
a_0: B | a_30: B ,0.7058823529411765,B->B,0.47368421052631576
a_0: A | a_20: A ,0.40502793296089384,A->A,0.7017543859649122
a_0: B | a_20: A ,0.5893854748603352,A->B,0.2982456140350877
a_0: A | a_20: B ,0.3448275862068966,B->A,0.6458333333333334
a_0: B | a_20: B ,0.6551724137931034,B->B,0.3541666666666667
a_0: A | a_10: A ,0.4447513812154696,A->A,0.7375231053604436
a_0: B | a_10: A ,0.5497237569060773,A->B,0.26247689463955637
a_0: A | a_10: B ,0.273972602739726,B->A,0.5
a_0: B | a_10: B ,0.726027397260274,B->B,0.5
a_0: A | a_5: A ,0.49038461538461536,A->A,0.7644710578842315
a_0: B | a_5: A ,0.5032051282051282,A->B,0.23552894211576847
a_0: A | a_5: B ,0.23387096774193547,B->A,0.47794117647058826
a_0: B | a_5: B ,0.7661290322580645,B->B,0.5220588235294118
a_0: A | a_1: A ,0.7211538461538461,A->A,0.8952164009111617
a_0: B | a_1: A ,0.27403846153846156,A->B,0.10478359908883828
a_0: A | a_1: B ,0.14035087719298245,B->A,0.2814070351758794
a_0: B | a_1: B ,0.8552631578947368,B->B,0.7185929648241206
